,frequency,peak flux density,duty cycle,loss calculted by iGSE,loss calculted by SE,Measured loss,error for iGSE,error for SE,loss error percent by iGSE
0,50000.0,0.0369,0.1,3.722765702081163,0.1267990528129685,5.00744,0.25655310855823277,0.9746778687686786,1.3450859927071577
1,50000.0,0.0417,0.1,5.052942179845946,0.17210545427690568,5.5382299999999995,0.08762507518720848,0.9689241049438347,1.0960406438232486
2,50000.0,0.0478,0.1,7.106687315041107,0.24205692549530866,8.15669,0.1287290169123618,0.9703241234501607,1.147748541396579
3,50000.0,0.053,0.1,9.198275510391232,0.31329734814584487,11.748709999999999,0.217082087276711,0.9733334682577198,1.2772731135012816
4,50000.0,0.06,0.1,12.540010203362614,0.42711831560133817,15.82329,0.20749665819417995,0.973006984287001,1.261824332149026
5,50000.0,0.067,0.1,16.52039809047683,0.5626920944271573,19.634410199999998,0.1585997276110268,0.9713415331198919,1.1884949801129936
6,50000.0,0.0751,0.1,21.97071177470473,0.748332198586092,26.5592,0.17276454958339377,0.9718239932458022,1.2088456793001163
7,50000.0,0.0837,0.1,28.80535124804193,0.9811230537969928,31.8912402,0.09676290205728871,0.969235343384451,1.1071290165978391
8,50000.0,0.0947,0.1,39.213711892387884,1.3356364389130762,46.144468800000006,0.15019691607354943,0.9710553296278691,1.1767431995887518
9,50000.0,0.1058,0.1,51.72381279661733,1.7617360305054701,60.6123594,0.14664577804543724,0.9709343762898386,1.1718463145463238
10,50000.0,0.118,0.1,67.9353890438201,2.313909515826172,76.4808516,0.11173336040860586,0.9697452438431509,1.1257880859513125
11,50000.0,0.1324,0.1,90.57763991426047,3.085114634192996,98.8779375,0.08394488998862389,0.9687987562018778,1.091637379750637
12,50000.0,0.1485,0.1,120.65003790069291,4.1093938624996715,131.341734,0.08140364660715606,0.96871220032393,1.0886174284346883
13,50000.0,0.1653,0.1,157.6920063921602,5.371059756869586,166.90146900000002,0.0551790386448894,0.9678189785323604,1.0584015817830172
14,50000.0,0.1847,0.1,208.06931353575573,7.086933206951306,224.525734,0.07329413947821355,0.9684359869102964,1.0790910499227284
15,50000.0,0.2081,0.1,280.30300066528457,9.547244664127424,298.981469,0.062473665666267206,0.9680674367677033,1.0666367048885779
16,50000.0,0.2325,0.1,369.75858647081816,12.594141637157389,372.949156,0.008554971844960704,0.9662309421149156,1.0086287909082368
17,50000.0,0.2607,0.1,492.17999805820597,16.76386927395964,482.210875,-0.020673783141464782,0.9652353977417875,0.9797449650584398
18,50000.0,0.2931,0.1,659.5069153787061,22.463098375187336,635.090875,-0.038444955422649016,0.9646301037230501,0.9629783406218178
19,60000.0,0.0307,0.1,3.1567377313710976,0.10751988880015945,4.14148,0.2377754495081232,0.9740382933636865,1.3119493453139006
20,60000.0,0.0378,0.1,5.308348486198609,0.18080470647799693,7.002689999999999,0.2419558075255924,0.9741806782139439,1.3191843034055841
21,60000.0,0.0419,0.1,6.865694641070279,0.23384860801315216,8.197659999999999,0.16248116644624444,0.9714737366500743,1.1940030002152968
22,60000.0,0.0473,0.1,9.29410369094691,0.3165612985256544,10.6663398,0.12865107757518557,0.9703214688017295,1.1476458790092627
23,60000.0,0.0529,0.1,12.291542058175168,0.4186553802502496,14.3014199,0.14053694359570781,0.970726306676007,1.163517143114525
24,60000.0,0.0589,0.1,16.075757306375056,0.5475474318891408,18.7709,0.14358089881811445,0.9708299851424738,1.1676526114608703
25,60000.0,0.0668,0.1,22.015369057129526,0.7498532454544192,25.1507793,0.12466453645316963,0.9701856854409908,1.1424191543068907
26,60000.0,0.0749,0.1,29.30217708352969,0.9980451623566698,35.6329414,0.1776660603289492,0.9719909408781878,1.216050988239667
27,60000.0,0.0838,0.1,38.78980702040702,1.3211980507491554,43.3951,0.1061247232888732,0.9695542111724791,1.1187243075782813
28,60000.0,0.0932,0.1,50.58994926714904,1.7231161352283175,56.551351600000004,0.10541573568421954,0.9695300627398565,1.1178376815792153
29,60000.0,0.1054,0.1,68.79071536022049,2.3430423099488173,77.22128909999999,0.10917421656691179,0.9696580782675795,1.1225539478057913
30,60000.0,0.1181,0.1,91.40376937681997,3.113252970509695,100.337992,0.08904127384949097,0.9689723412990995,1.0977445753505846
31,60000.0,0.1325,0.1,121.83978353520831,4.149917127087765,130.613133,0.0671705001118968,0.9682274130344323,1.0720072640498122
32,60000.0,0.1473,0.1,158.73529879026808,5.40659475919678,174.406609,0.08985502498779692,0.9690000580241956,1.0987260573367361
33,60000.0,0.1656,0.1,212.67964864358754,7.243963267826921,221.15978099999998,0.03834391731655965,0.9672455668247071,1.0398727965298815
34,60000.0,0.1843,0.1,277.84641919144445,9.463572408345474,285.97690600000004,0.028430571273316687,0.9669079138567032,1.0292625214757705
35,60000.0,0.2072,0.1,372.28392819901563,12.680155897734014,378.68890600000003,0.016913560707755185,0.9665156393630026,1.0172045509242624
36,60000.0,0.2323,0.1,495.3743865916531,16.872671565796395,480.371031,-0.031232848409739087,0.9648757512902638,0.9697130978150055
37,60000.0,0.2609,0.1,662.0715956121369,22.550452522719468,621.681125,-0.06496975537440829,0.9637266572590258,0.9389938023624276
38,60000.0,0.2906,0.1,866.711391024496,29.520574819596987,799.424875,-0.0841686544023239,0.9630727342333487,0.9223657185987137
39,70000.0,0.0263,0.1,2.7515802267480267,0.09372004429274076,3.56445,0.22804914453898167,0.9737070110977175,1.295419252308216
40,70000.0,0.0296,0.1,3.6968317171400202,0.12591572977054216,3.8994400000000002,0.051958302438293705,0.9677092788270771,1.0548059252793698
