,fs,Bm,D,pred_val_y,y_val,SE,prediction error,iGSE error
0,100000.0,0.1863,0.5,344.9174181575121,345.6884999999997,22.19478107269545,0.2230568394631596,93.57954312258133
1,450000.0,0.1314,0.5,1650.1459269187403,1634.1712499999985,105.4401836912204,0.9775399560322593,93.54778859980429
2,150000.0,0.1054,0.5,153.81805145465938,153.82089100000005,10.29938733081669,0.001846007601570262,93.30429874390944
3,220000.0,0.1065,0.9000000000000001,663.4549770951727,654.9979380000002,19.626854888614705,1.291155071571002,97.00352417161125
4,210000.0,0.010999999999999996,0.9000000000000001,3.3366217422456677,3.5304799999999266,0.06267386472142178,5.490988697125121,98.2247778001455
5,380000.0,0.0373,0.10000000000000003,204.03252718390735,192.5221560000017,3.452394601528427,5.978725474020531,98.20675465449888
6,270000.0,0.0242,0.5,10.316682614738635,9.93442000000003,0.6743624273733566,3.847860415994135,93.21185909823267
7,90000.0,0.0946,0.5,62.681696473515295,60.477299999999914,3.443791259207819,3.6449981621457703,94.3056464835437
8,470000.0,0.019299999999999998,0.5,20.10427376969773,20.0551,0.9384849434842479,0.24519334083465563,95.3204673949058
9,190000.0,0.0169,0.10000000000000003,7.479682889208313,6.914029999999992,0.1558653649247823,8.181232786208925,97.74566548127818
10,140000.0,0.0738,0.10000000000000003,128.3106699766344,126.35664099999927,3.781915380683877,1.5464394757337103,97.0069516324956
11,440000.0,0.028999999999999998,0.10000000000000003,158.51899886317108,160.74546899999982,2.333044216411757,1.385090448072748,98.54860965542252
12,150000.0,0.1866,0.5,611.3204991453531,608.2624380000001,42.908411261294965,0.5027535738369904,92.94574042704656
13,420000.0,0.030399999999999996,0.9000000000000001,143.74660791109488,149.01695299999903,2.434604533383455,3.5367419496922508,98.36622311463886
14,360000.0,0.0271,0.9000000000000001,81.7132554735835,86.81609999999984,1.4242236883836874,5.877762910815325,98.35949358657703
15,370000.0,0.0508,0.10000000000000003,378.97613786955856,369.1572810000008,7.154034058594236,2.659803117782127,98.06206340039812
16,260000.0,0.0732,0.10000000000000003,409.91806390412586,400.63465599999756,10.075860060407564,2.3171754527717026,97.48502534428584
17,380000.0,0.0631,0.9000000000000001,565.7757998556514,568.9809380000061,12.838396092203023,0.5633120426882662,97.74361578134226
18,160000.0,0.0859,0.9000000000000001,220.61449719454816,223.37018799999947,6.85716047683586,1.2336878211569198,96.9301362289063
19,100000.0,0.030100000000000002,0.10000000000000003,8.160361047341768,8.08908000000004,0.23364685023696907,0.8812009195325976,97.1115769625598
20,340000.0,0.0383,0.5,48.11066080560739,48.0861719,3.0815489484684058,0.050927126530926015,93.5916110043511
21,110000.0,0.1683,0.9000000000000001,572.3646469907031,586.2825620000011,20.08606620940455,2.373926142681003,96.57399562748645
22,410000.0,0.0945,0.5,629.8939778149813,628.3439380000007,39.813127025515925,0.24668652329397703,93.66380025050614
23,270000.0,0.1015,0.10000000000000003,909.2116132707118,908.0666250000048,24.23255932841373,0.12609077783329073,97.331411742127
24,210000.0,0.2618,0.5,2140.9652713759997,2177.651750000004,172.20709079337968,1.6846806944225277,92.09207391432632
25,360000.0,0.0172,0.9000000000000001,31.006920393456266,32.82107030000012,0.4574372092833734,5.527394109825391,98.60626967645423
26,450000.0,0.0938,0.5,741.3360583208788,739.5023120000004,45.424310443035566,0.24797032965576302,93.85744848854029
27,90000.0,0.0676,0.9000000000000001,45.6322446342652,46.96789060000001,1.4874364447518893,2.8437427116107536,96.83307803320449
28,260000.0,0.0599,0.5,88.03777329660878,87.11597660000017,6.105598361187958,1.0581258829722031,92.99141374581347
29,480000.0,0.05349999999999999,0.5,227.19113667532565,222.45840599999957,12.399273656928251,2.127467673811387,94.42625078553864
30,300000.0,0.0247,0.9000000000000001,45.96647038816349,46.4134413999998,0.8414355866188075,0.9630206215139778,98.18708641023372
