,frequency,peak flux density,duty cycle,loss calculted by SE,loss calculted by iGSE,Measured loss,error for SE,error for iGSE,loss error percent by iGSE
0,50000.0,0.0267,0.1,0.05650425778385964,1.65894072733792,3.3900300000000003,0.9833322248523289,0.5106412841957387,2.0434907312450736
1,50000.0,0.0302,0.1,0.07686419556165686,2.256699751354367,3.95581,0.9805692903446686,0.4295227143481697,1.7529181707162884
2,50000.0,0.0338,0.1,0.10183813611596108,2.9899239141445557,5.49428,0.9814646985381231,0.45581151413023074,1.8375986004218985
3,50000.0,0.0382,0.1,0.13825518722658495,4.05911288549704,7.83216,0.9823477575500774,0.48173774725017876,1.9295250516396882
4,50000.0,0.0426,0.1,0.1815355987350652,5.329807168784702,10.25021,0.9822895727272841,0.48002946585633827,1.9231859006143448
5,50000.0,0.048,0.1,0.24459501447141235,7.181204516703539,13.5713496,0.9819771045857213,0.47085553549489734,1.8898430713723489
6,50000.0,0.0534,0.1,0.3192378003758076,9.372684635112197,17.819349600000002,0.9820847669784867,0.47401645708145285,1.9012001676920491
7,50000.0,0.0602,0.1,0.43068395832351514,12.644695941445967,24.5141797,0.9824312310836362,0.48418849432494093,1.938692698782025
8,50000.0,0.0674,0.1,0.5711220067997447,16.76789669520623,31.4040898,0.9818137697848596,0.4660600959303642,1.8728699473069936
9,50000.0,0.0754,0.1,0.7558225373442405,22.190624901870862,43.3519219,0.9825654203039095,0.4881282321679293,1.953614289444596
10,50000.0,0.084,0.1,0.9899317507263466,29.063970804585438,54.7546094,0.9819205768870602,0.46919590655347754,1.883934227987916
11,50000.0,0.0948,0.1,1.3391626551906854,39.317240087001196,73.8704219,0.98187146329009,0.46775395245168894,1.8788302977660567
12,50000.0,0.106,0.1,1.7700676056702875,51.96842426318439,95.70534380000001,0.9815050285032225,0.45699558457482514,1.8416056510645415
13,50000.0,0.1188,0.1,2.353299342482449,69.09185742772202,126.48907799999999,0.981395236808648,0.4537721476021667,1.8307378424776324
14,50000.0,0.1318,0.1,3.05030607270442,89.55567550700584,166.798781,0.9817126596824205,0.4630915467721203,1.862514911039351
15,50000.0,0.1482,0.1,4.088685666645173,120.04205416919912,218.93381200000002,0.9813245581881835,0.45169705367757856,1.823809276800721
16,50000.0,0.1657,0.1,5.403588042621431,158.647022883672,283.632938,0.980948658217469,0.44066079207037656,1.787823892591883
17,50000.0,0.1858,0.1,7.1928455234682875,211.17885363570397,363.803281,0.980228750263887,0.41952460391443264,1.7227259014654102
18,50000.0,0.2084,0.1,9.581665648831189,281.31358598468796,470.792688,0.9796478027525543,0.40246823462838494,1.6735511950198718
19,50000.0,0.2342,0.1,12.825452952109503,376.54978727795014,597.9564379999999,0.9785511917975044,0.37027220822739904,1.587987719559163
20,50000.0,0.2605,0.1,16.73175923650031,491.2372611568314,762.2494379999999,0.9780494961329177,0.35554263910545325,1.5516930377084033
21,50000.0,0.2919,0.1,22.234048954388154,652.7821228119153,946.816,0.9765170329246778,0.31055017784668265,1.4504318775175833
22,60000.0,0.0222,0.1,0.0478386282209775,1.404521567194645,2.6982199999999996,0.982270301079609,0.47946365856207235,1.9210954555787665
23,60000.0,0.0267,0.1,0.07586302396746722,2.227305783575723,4.22792,0.9820566557627706,0.47319112386806683,1.8982216232620228
24,60000.0,0.0304,0.1,0.10491425559647435,3.080237460212205,5.61385,0.9813115320864514,0.45131461292834596,1.8225380583525688
25,60000.0,0.0338,0.1,0.13672861593050062,4.014293408247261,7.08277,0.980695601307045,0.4332311499247807,1.7643877214975452
26,60000.0,0.0374,0.1,0.1760627794099397,5.169127545197005,9.34999,0.981169736073521,0.4471515429217566,1.808813947469283
27,60000.0,0.0428,0.1,0.24659969816165198,7.240061168389679,12.8651,0.9808318864088384,0.4372324219485524,1.7769325010912072
28,60000.0,0.0479,0.1,0.326688537399786,9.59143507238089,17.4143691,0.9812402886648482,0.4492229366850338,1.815616638030081
29,60000.0,0.0531,0.1,0.42262078220910276,12.407964555661477,24.180289100000003,0.9825220955605075,0.4868562363192971,1.9487716129046384
30,60000.0,0.0599,0.1,0.571067447238908,16.766294849945574,31.509700000000002,0.9818764555918048,0.4679005242847259,1.879347839341039
31,60000.0,0.0667,0.1,0.747052073019247,21.93312783816194,39.7710391,0.9812161791614027,0.44851509202428813,1.8132862487037293
32,60000.0,0.0749,0.1,0.9980451623566698,29.30217708352969,53.6862188,0.9814096581084479,0.4541955507671237,1.8321580218070628
33,60000.0,0.0838,0.1,1.3211980507491554,38.78980702040702,69.8981719,0.9810982459936243,0.4450526248969464,1.8019726641905465
34,60000.0,0.0943,0.1,1.7743726215848588,52.094817680470555,93.6379219,0.9810507048257672,0.44365683663820654,1.7974517633277605
35,60000.0,0.1047,0.1,2.3043610035812927,67.65504882752862,124.768609,0.9815309233464221,0.45775584604354597,1.844187701616617
36,60000.0,0.118,0.1,3.1066716021498504,91.2105432299423,161.18925,0.9807265583644701,0.4341400358278092,1.7672216861338164
37,60000.0,0.1309,0.1,4.025856976167484,118.19743081572649,203.074906,0.9801755073757489,0.4179614155984074,1.718099154935103
38,60000.0,0.1473,0.1,5.40659475919678,158.73529879026808,276.63253100000003,0.9804556798159189,0.4261871580451684,1.7427285116053854
39,60000.0,0.1656,0.1,7.243963267826921,212.67964864358754,351.33643800000004,0.9793816909254743,0.3946553057397721,1.6519513749469095
40,60000.0,0.1857,0.1,9.644186825353758,283.1491808605842,458.329906,0.9789579804871957,0.3822153493501596,1.6186870278309955
41,60000.0,0.2067,0.1,12.603852022939785,370.0436792246101,586.285,0.978502175523952,0.36883311149933884,1.5843670164249315
42,60000.0,0.2306,0.1,16.565892072531422,486.3674724996903,734.854812,0.9774569182891445,0.3381448082567768,1.5109045188059282
43,60000.0,0.2605,0.1,22.46418060798056,659.5386892684545,976.23225,0.9769888972547459,0.3244039118063816,1.4801743489571701
44,60000.0,0.2924,0.1,29.979499517076608,880.1852229318617,1215.85375,0.9753428407675868,0.27607640069221995,1.381361238887924
45,70000.0,0.0189,0.1,0.04105404116844385,1.2053290068274036,2.12536,0.9806837236193192,0.43288242611726785,1.7633027894966604
46,70000.0,0.0215,0.1,0.056649593110266565,1.6632077100672509,2.48543,0.9772073270579874,0.3308169169651727,1.4943593544906686
47,70000.0,0.024,0.1,0.07456632824849076,2.1892353544869394,3.4928600000000003,0.9786517844263752,0.37322556458405454,1.595470305575516
48,70000.0,0.0272,0.1,0.10193869519356755,2.9928762854505018,5.22625,0.9804948681763086,0.4273377114660604,1.7462298810701828
