,fs,Bm,D,pred_val_y,y_val,iGSE,prediction error,iGSE error
0,250000.0,0.0425,0.10000000000000003,126.6901213619453,122.89610199999998,71.38834128715634,3.08717632227694,41.91163094240666
1,240000.0,0.0675,0.4,157.18881270249983,154.192938,127.77884312530139,1.9429389836905715,17.13054775225737
2,310000.0,0.0316,0.9,91.80497207892587,90.13553120000003,48.20193103480699,1.8521451604046681,46.522830238995724
3,360000.0,0.015400000000000004,0.9,25.80518305709934,26.72469999999999,10.189392268923143,3.4407007109552215,61.872753411925494
4,460000.0,0.011000000000000003,0.9,20.854974053542396,22.425619100000024,6.532996002179004,7.003797930633835,70.8681576501984
5,130000.0,0.0679,0.9,122.31340419959463,119.67132,79.99317584482013,2.207783953243463,33.15593423318124
6,50000.0,0.1482,0.10000000000000003,211.86695533303234,218.933812,120.04205416919912,3.22785073827137,45.16970536775785
7,470000.0,0.025100000000000004,0.10000000000000003,148.58730578273983,147.170047,53.12055768221751,0.9630076307170179,63.90531989011493
8,170000.0,0.0245,0.4,6.5502115432253305,6.993320000000003,5.81977299644231,6.336167325028351,16.780971034611493
9,500000.0,0.0191,0.9,84.39865143614428,87.57064059999999,29.6686642754282,3.622206189337518,66.12030690634435
10,230000.0,0.0273,0.9,35.76008554953451,36.75682030000002,20.648682248883233,2.711700147973662,43.823535114425496
11,500000.0,0.013699999999999997,0.4,10.968979655399517,11.20289999999998,7.786277395817933,2.0880338537384393,30.49766224979294
12,360000.0,0.0172,0.9,32.971783317226546,34.850640600000006,13.430159893132071,5.3911700055621345,61.46366419120552
13,180000.0,0.014900000000000004,0.10000000000000003,5.383572323604172,5.472170000000004,3.0612837269554234,1.619059283535266,44.05722543423502
14,200000.0,0.0337,0.10000000000000003,46.51116982790762,46.32464840000001,27.88137543953738,0.40263970553441725,39.81308784302101
15,480000.0,0.016300000000000002,0.10000000000000003,62.03822476765511,58.05946090000004,18.692164524900875,6.852912179994192,67.80513591558191
16,340000.0,0.015400000000000004,0.4,6.5005210202377635,6.5578499999999895,5.592293648311141,0.8742038894184245,14.723672418381781
17,190000.0,0.0436,0.9,76.05023142619088,75.25214840000001,48.8380030237079,1.0605451713467178,35.100852185493366
18,200000.0,0.015300000000000001,0.10000000000000003,7.2018450172381065,6.896410000000011,3.877799127689741,4.428898763821975,43.77075713755802
19,480000.0,0.0444,0.9,471.3346295573457,470.784594,228.48866361165915,0.11683380559935355,51.466410217395705
20,110000.0,0.0751,0.4,73.17349175963868,72.66380000000001,47.284527283638,0.7014383498229796,34.926982508982476
21,320000.0,0.011799999999999998,0.10000000000000003,11.718316234395557,11.890830099999969,4.331140644787723,1.4508143178701383,63.57579236803884
22,340000.0,0.0478,0.4,112.25978497127979,113.96349199999999,94.7267144834942,1.49495860369056,16.879771915470776
23,210000.0,0.0381,0.9,66.7206370833176,66.14499999999998,40.99168197918834,0.8702654521394156,38.0275425516844
24,110000.0,0.0531,0.10000000000000003,51.420027200526164,52.156988299999995,33.04246043619503,1.4129671276932818,36.64806670557887
25,160000.0,0.0612,0.9,129.7700898153175,133.05235899999997,86.30872259680916,2.4669004062396693,35.13176072525765
26,390000.0,0.012400000000000001,0.9,18.922804089426233,19.6686797,6.749042430560593,3.79219968981327,65.68634736290615
27,430000.0,0.0378,0.4,95.64957354500162,96.8880938,77.02303239493524,1.278299743986064,20.50309860164134
28,390000.0,0.0179,0.10000000000000003,46.958717793676904,49.19475,16.88626290679059,4.545265920292501,65.67466466078068
29,100000.0,0.1656,0.10000000000000003,712.2531339270429,698.3162499999999,485.52470010302966,1.9957839914283866,30.47208909959782
30,90000.0,0.015400000000000004,0.9,1.5574973985300045,1.6487100000000012,1.0846248288920606,5.532361753734539,34.213728982534235
31,120000.0,0.0755,0.9,138.60857314247517,137.63690599999993,91.62011998693443,0.7059640983757954,33.43346443218182
32,280000.0,0.0184,0.10000000000000003,23.6625818715181,22.996210899999976,10.589741390529156,2.897742477731947,53.950059700795464
33,70000.0,0.1318,0.10000000000000003,251.09604450497667,249.90584399999997,154.24866249610287,0.47625957277601777,38.27728874715595
34,200000.0,0.0379,0.10000000000000003,61.951510421800535,61.78312109999998,37.38915502883515,0.27254906971760884,39.483220719266704
