,frequency,peak flux density,analytical loss,Measured loss,loss calculted by iGSE,loss calculted by SE,loss error percent by iGSE
0,50000.0,0.0369,0.0,5.00744,3.722765702081163,0.1,1.3450859927071577
1,50000.0,0.0417,0.0,5.53823,5.052942179845946,0.1,1.0960406438232486
2,50000.0,0.0478,0.0,8.15669,7.106687315041107,0.1,1.147748541396579
3,50000.0,0.053,0.0,11.74871,9.198275510391232,0.1,1.2772731135012818
4,50000.0,0.06,0.0,15.82329,12.540010203362614,0.1,1.261824332149026
5,50000.0,0.067,0.0,19.6344102,16.52039809047683,0.1,1.1884949801129938
6,50000.0,0.0751,0.0,26.5592,21.97071177470473,0.1,1.2088456793001163
7,50000.0,0.0837,0.0,31.8912402,28.80535124804193,0.1,1.1071290165978391
8,50000.0,0.0947,0.0,46.144468800000006,39.213711892387884,0.1,1.1767431995887518
9,50000.0,0.1058,0.0,60.6123594,51.72381279661733,0.1,1.1718463145463238
10,50000.0,0.118,0.0,76.4808516,67.9353890438201,0.1,1.1257880859513125
11,50000.0,0.1324,0.0,98.8779375,90.57763991426047,0.1,1.091637379750637
12,50000.0,0.1485,0.0,131.341734,120.65003790069292,0.1,1.0886174284346883
13,50000.0,0.1653,0.0,166.90146900000002,157.6920063921602,0.1,1.0584015817830172
14,50000.0,0.1847,0.0,224.525734,208.06931353575573,0.1,1.0790910499227284
15,50000.0,0.2081,0.0,298.981469,280.30300066528457,0.1,1.0666367048885779
16,50000.0,0.2325,0.0,372.949156,369.75858647081816,0.1,1.0086287909082368
17,50000.0,0.2607,0.0,482.210875,492.179998058206,0.1,0.9797449650584397
18,50000.0,0.2931,0.0,635.090875,659.5069153787061,0.1,0.9629783406218178
19,60000.0,0.0307,0.0,4.14148,3.1567377313710976,0.1,1.3119493453139006
20,60000.0,0.0378,0.0,7.002689999999999,5.308348486198609,0.1,1.3191843034055841
21,60000.0,0.0419,0.0,8.197659999999999,6.865694641070279,0.1,1.1940030002152968
22,60000.0,0.0473,0.0,10.6663398,9.29410369094691,0.1,1.1476458790092627
23,60000.0,0.0529,0.0,14.3014199,12.291542058175168,0.1,1.163517143114525
24,60000.0,0.0589,0.0,18.7709,16.075757306375056,0.1,1.1676526114608703
25,60000.0,0.0668,0.0,25.1507793,22.01536905712953,0.1,1.1424191543068904
26,60000.0,0.0749,0.0,35.6329414,29.30217708352969,0.1,1.216050988239667
27,60000.0,0.0838,0.0,43.3951,38.78980702040702,0.1,1.1187243075782813
28,60000.0,0.0932,0.0,56.5513516,50.58994926714904,0.1,1.1178376815792153
29,60000.0,0.1054,0.0,77.22128909999999,68.79071536022049,0.1,1.1225539478057913
30,60000.0,0.1181,0.0,100.337992,91.40376937681997,0.1,1.0977445753505846
31,60000.0,0.1325,0.0,130.613133,121.83978353520833,0.1,1.072007264049812
32,60000.0,0.1473,0.0,174.406609,158.73529879026808,0.1,1.0987260573367361
33,60000.0,0.1656,0.0,221.159781,212.67964864358757,0.1,1.0398727965298815
34,60000.0,0.1843,0.0,285.97690600000004,277.84641919144445,0.1,1.0292625214757705
35,60000.0,0.2072,0.0,378.688906,372.2839281990156,0.1,1.0172045509242624
36,60000.0,0.2323,0.0,480.371031,495.3743865916531,0.1,0.9697130978150055
37,60000.0,0.2609,0.0,621.681125,662.0715956121369,0.1,0.9389938023624276
38,60000.0,0.2906,0.0,799.424875,866.711391024496,0.1,0.9223657185987137
39,70000.0,0.0263,0.0,3.56445,2.7515802267480267,0.1,1.295419252308216
40,70000.0,0.0296,0.0,3.89944,3.69683171714002,0.1,1.0548059252793698
41,70000.0,0.0341,0.0,5.79686,5.264725334898272,0.1,1.1010754847122541
42,70000.0,0.0377,0.0,8.42182,6.76495154264655,0.1,1.244919486401119
43,70000.0,0.042,0.0,10.37746,8.860334262751566,0.1,1.1712266932892543
44,70000.0,0.0472,0.0,13.3587598,11.8601622409904,0.1,1.1263555698951768
45,70000.0,0.0534,0.0,18.6093906,16.143299246854905,0.1,1.1527625372877572
46,70000.0,0.059,0.0,22.7211309,20.7105305481297,0.1,1.0970810644950797
47,70000.0,0.0668,0.0,33.1004297,28.242639825440836,0.1,1.1720019766064251
48,70000.0,0.0752,0.0,43.4588281,37.96786165105063,0.1,1.1446214300772302
49,70000.0,0.0834,0.0,54.1535703,49.17062818585725,0.1,1.1013398099228673
50,70000.0,0.0939,0.0,71.4857578,66.12442546515659,0.1,1.0810794543336864
51,70000.0,0.1056,0.0,95.2677734,88.66779927363467,0.1,1.0744348476045669
52,70000.0,0.1178,0.0,123.249797,116.5155510888134,0.1,1.0577969708614556
53,70000.0,0.1309,0.0,163.69879699999998,151.6307747627773,0.1,1.0795882119319302
54,70000.0,0.1475,0.0,217.121469,204.3266215324496,0.1,1.0626195811959747
55,70000.0,0.1649,0.0,276.198219,269.96618596350856,0.1,1.0230844948757167
56,70000.0,0.1845,0.0,355.901406,357.405195784782,0.1,0.995792479229408
57,70000.0,0.2073,0.0,467.678625,478.1642528389972,0.1,0.9780710754165728
58,70000.0,0.2323,0.0,603.416125,635.4960638157443,0.1,0.9495198465540055
59,70000.0,0.2598,0.0,796.614875,840.4274819625329,0.1,0.9478686645750525
60,70000.0,0.289,0.0,978.186938,1096.6390834713563,0.1,0.8919862083554401
61,80000.0,0.023,0.0,3.05812,2.44245401627687,0.1,1.252068607891998
62,80000.0,0.0269,0.0,4.03091,3.612144055477272,0.1,1.1159327917411637
63,80000.0,0.0298,0.0,5.01304,4.664928450623357,0.1,1.0746231272486346
64,80000.0,0.0336,0.0,7.50725,6.295912721750307,0.1,1.1924005830107716
65,80000.0,0.0374,0.0,9.86139,8.22821730449105,0.1,1.1984843903694118
66,80000.0,0.042,0.0,12.7906904,10.994090139974318,0.1,1.1634150927590885
67,80000.0,0.0474,0.0,16.9087793,14.872616150003337,0.1,1.1369068581788286
68,80000.0,0.0533,0.0,21.0389102,19.937368213819344,0.1,1.0552501199941293
69,80000.0,0.0595,0.0,29.2677793,26.24558152574578,0.1,1.1151507262770908
70,80000.0,0.067,0.0,40.660718800000005,35.30676998353652,0.1,1.1516408558177376
71,80000.0,0.0746,0.0,50.8935312,46.177886815051,0.1,1.102119103107421
72,80000.0,0.0838,0.0,66.86207030000001,61.74561540075468,0.1,1.082863452992369
73,80000.0,0.0937,0.0,89.5601875,81.61270304253907,0.1,1.0973804831990241
74,80000.0,0.1038,0.0,111.35443,105.39551848722996,0.1,1.0565385663290041
75,80000.0,0.1173,0.0,150.100141,143.0468207658052,0.1,1.0493077734718932
76,80000.0,0.1317,0.0,203.774438,191.03242957824597,0.1,1.066700760964436
77,80000.0,0.1469,0.0,260.147828,250.9641956702028,0.1,1.0365933965411767
78,80000.0,0.1646,0.0,336.711719,333.4593656199402,0.1,1.0097533724206946
79,80000.0,0.1854,0.0,443.664438,448.9000390051559,0.1,0.9883368221202231
80,80000.0,0.2047,0.0,543.68075,574.9002674301581,0.1,0.945695768120423
81,80000.0,0.2319,0.0,745.476812,785.1492973756547,0.1,0.9494714119871734
82,80000.0,0.258,0.0,915.966688,1024.8640648055552,0.1,0.8937445652109813
83,80000.0,0.29,0.0,1225.9158799999998,1372.5260453985402,0.1,0.893182234399079
84,90000.0,0.0204,0.0,2.72733,2.1894415791969064,0.1,1.2456737945939587
85,90000.0,0.0239,0.0,3.67892,3.2518380862153475,0.1,1.131335540842291
86,90000.0,0.0264,0.0,4.436439999999999,4.169329391550412,0.1,1.0640656046487753
87,90000.0,0.0298,0.0,6.56395,5.642899922422833,0.1,1.163222826957687
88,90000.0,0.0338,0.0,9.01531,7.729563650109101,0.1,1.1663413884783458
89,90000.0,0.038,0.0,11.9177,10.356920872444457,0.1,1.1506991456995814
90,90000.0,0.042,0.0,15.45821,13.298928601934016,0.1,1.1623650643369847
91,90000.0,0.0473,0.0,18.6625605,17.89589318565901,0.1,1.04284040513582
92,90000.0,0.053,0.0,26.1853398,23.77941983488593,0.1,1.101176562835416
93,90000.0,0.0596,0.0,36.3333086,31.88126045060017,0.1,1.1396446717123452
94,90000.0,0.0665,0.0,46.8222305,41.91681843372765,0.1,1.1170272995320012
95,90000.0,0.0746,0.0,61.7337695,55.85877611723746,0.1,1.1051758343296314
96,90000.0,0.084,0.0,81.8432188,75.13629734729578,0.1,1.0892634011721847
97,90000.0,0.0932,0.0,102.624344,97.41147274208728,0.1,1.0535139353833058
98,90000.0,0.1043,0.0,135.506688,129.03072469170846,0.1,1.0501893120709387
99,90000.0,0.1172,0.0,183.644562,172.66735512955498,0.1,1.063574303678936
100,90000.0,0.1308,0.0,238.681312,227.156277536882,0.1,1.0507361477661419
101,90000.0,0.1469,0.0,309.641812,303.57718350193755,0.1,1.0199772210417908
