Frequency,Flux_Density,Power_Loss,Duty_1,Duty_2,Duty_3,Duty_4,Outlier_Factor
50000.0,0.0268,2783.23,0.9,0.0,0.1,0.0,-9.64
50000.0,0.0302,3246.39,0.9,0.0,0.1,0.0,16.39
50000.0,0.0338,5222.29,0.9,0.0,0.1,0.0,-12.02
50000.0,0.0384,7100.95,0.9,0.0,0.1,0.0,-4.85
50000.0,0.0426,8554.3,0.9,0.0,0.1,0.0,3.56
50000.0,0.0479,11712.8701,0.9,0.0,0.1,0.0,-2.17
50000.0,0.0535,15404.1699,0.9,0.0,0.1,0.0,0.85
50000.0,0.0605,21993.7109,0.9,0.0,0.1,0.0,-2.08
50000.0,0.0674,29512.8,0.9,0.0,0.1,0.0,-3.19
50000.0,0.0758,39730.1406,0.9,0.0,0.1,0.0,-3.12
50000.0,0.0841,50171.4297,0.9,0.0,0.1,0.0,-1.03
50000.0,0.0949,67054.7266,0.9,0.0,0.1,0.0,-1.62
50000.0,0.1061,87967.7812,0.9,0.0,0.1,0.0,-0.75
50000.0,0.1191,118246.57,0.9,0.0,0.1,0.0,-1.28
50000.0,0.1322,155912.75,0.9,0.0,0.1,0.0,-3.77
50000.0,0.1487,201983.297,0.9,0.0,0.1,0.0,-0.08
50000.0,0.1658,259407.703,0.9,0.0,0.1,0.0,-0.38
50000.0,0.186,340109.906,0.9,0.0,0.1,0.0,-1.79
50000.0,0.2088,435516.531,0.9,0.0,0.1,0.0,0.72
50000.0,0.2347,569512.312,0.9,0.0,0.1,0.0,0.23
50000.0,0.2616,733702.125,0.9,0.0,0.1,0.0,-1.16
50000.0,0.2912,918836.188,0.9,0.0,0.1,0.0,0.4
60000.0,0.0225,2520.02,0.9,0.0,0.1,0.0,-9.67
60000.0,0.027,4054.84,0.9,0.0,0.1,0.0,-7.0
60000.0,0.0307,5185.66,0.9,0.0,0.1,0.0,0.56
60000.0,0.0342,6644.76,0.9,0.0,0.1,0.0,3.04
60000.0,0.038,9044.38,0.9,0.0,0.1,0.0,-2.91
60000.0,0.0431,12240.9404,0.9,0.0,0.1,0.0,-0.11
60000.0,0.0486,16484.8,0.9,0.0,0.1,0.0,2.71
60000.0,0.0537,22708.1699,0.9,0.0,0.1,0.0,-6.25
