Frequency,Flux_Density,Power_Loss,Duty_1,Duty_2,Duty_3,Duty_4,Outlier_Factor
50000.0,0.0715,25526.8691,0.6,0.0,0.4,0.0,-3.21
50000.0,0.0716,25650.7305,0.6,0.0,0.4,0.0,0.12
50000.0,0.0951,50492.5312,0.6,0.0,0.4,0.0,-2.87
50000.0,0.1045,62861.9297,0.6,0.0,0.4,0.0,0.17
50000.0,0.1183,84654.1719,0.6,0.0,0.4,0.0,-0.43
50000.0,0.1327,111539.547,0.6,0.0,0.4,0.0,-0.94
50000.0,0.15,147772.828,0.6,0.0,0.4,0.0,0.24
50000.0,0.1655,187270.625,0.6,0.0,0.4,0.0,-0.69
50000.0,0.187,249391.062,0.6,0.0,0.4,0.0,-1.55
50000.0,0.208,312781.438,0.6,0.0,0.4,0.0,0.8
50000.0,0.2339,412064.688,0.6,0.0,0.4,0.0,-0.61
50000.0,0.2625,537232.125,0.6,0.0,0.4,0.0,-0.43
50000.0,0.2939,695278.188,0.6,0.0,0.4,0.0,-2.05
60000.0,0.0598,21297.4,0.6,0.0,0.4,0.0,0.53
60000.0,0.0595,21298.6,0.6,0.0,0.4,0.0,-1.08
60000.0,0.0849,49127.3594,0.6,0.0,0.4,0.0,-1.19
60000.0,0.0947,62547.5117,0.6,0.0,0.4,0.0,0.55
60000.0,0.1053,80389.9375,0.6,0.0,0.4,0.0,-0.71
60000.0,0.1182,104419.242,0.6,0.0,0.4,0.0,0.43
60000.0,0.1325,136537.953,0.6,0.0,0.4,0.0,0.21
60000.0,0.1479,177123.375,0.6,0.0,0.4,0.0,-0.08
60000.0,0.1667,234073.406,0.6,0.0,0.4,0.0,0.12
60000.0,0.1876,308365.969,0.6,0.0,0.4,0.0,-0.82
60000.0,0.2087,387385.281,0.6,0.0,0.4,0.0,0.72
60000.0,0.2349,508132.5,0.6,0.0,0.4,0.0,0.39
60000.0,0.2627,661216.938,0.6,0.0,0.4,0.0,-0.1
60000.0,0.2938,857183.688,0.6,0.0,0.4,0.0,-0.09
70000.0,0.051,17432.5508,0.6,0.0,0.4,0.0,-0.58
70000.0,0.0553,20996.7695,0.6,0.0,0.4,0.0,0.47
70000.0,0.0671,33857.9609,0.6,0.0,0.4,0.0,-1.1
70000.0,0.0746,43211.4688,0.6,0.0,0.4,0.0,0.28
