Frequency,Flux_Density,Power_Loss,Duty_1,Duty_2,Duty_3,Duty_4,Outlier_Factor
50000.0,0.0267,3390.03,0.1,0.0,0.9,0.0,-12.38
50000.0,0.0302,3955.81,0.1,0.0,0.9,0.0,10.18
50000.0,0.0338,5494.28,0.1,0.0,0.9,0.0,-0.48
50000.0,0.0382,7832.16,0.1,0.0,0.9,0.0,-2.72
50000.0,0.0426,10250.21,0.1,0.0,0.9,0.0,-0.62
50000.0,0.048,13571.3496,0.1,0.0,0.9,0.0,1.28
50000.0,0.0534,17819.3496,0.1,0.0,0.9,0.0,0.69
50000.0,0.0602,24514.1797,0.1,0.0,0.9,0.0,-2.27
50000.0,0.0674,31404.0898,0.1,0.0,0.9,0.0,3.47
50000.0,0.0754,43351.9219,0.1,0.0,0.9,0.0,-3.84
50000.0,0.084,54754.6094,0.1,0.0,0.9,0.0,1.65
50000.0,0.0948,73870.4219,0.1,0.0,0.9,0.0,-0.84
50000.0,0.106,95705.3438,0.1,0.0,0.9,0.0,0.92
50000.0,0.1188,126489.078,0.1,0.0,0.9,0.0,1.16
50000.0,0.1318,166798.781,0.1,0.0,0.9,0.0,-2.04
50000.0,0.1482,218933.812,0.1,0.0,0.9,0.0,-0.1
50000.0,0.1657,283632.938,0.1,0.0,0.9,0.0,-1.02
50000.0,0.1858,363803.281,0.1,0.0,0.9,0.0,0.31
50000.0,0.2084,470792.688,0.1,0.0,0.9,0.0,-1.14
50000.0,0.2342,597956.438,0.1,0.0,0.9,0.0,1.22
50000.0,0.2605,762249.438,0.1,0.0,0.9,0.0,-1.77
50000.0,0.2919,946816.0,0.1,0.0,0.9,0.0,2.13
60000.0,0.0222,2698.22,0.1,0.0,0.9,0.0,-11.47
60000.0,0.0267,4227.92,0.1,0.0,0.9,0.0,-2.74
60000.0,0.0304,5613.85,0.1,0.0,0.9,0.0,-0.62
60000.0,0.0338,7082.77,0.1,0.0,0.9,0.0,2.1
60000.0,0.0374,9349.99,0.1,0.0,0.9,0.0,-1.86
60000.0,0.0428,12865.1,0.1,0.0,0.9,0.0,1.92
60000.0,0.0479,17414.3691,0.1,0.0,0.9,0.0,1.78
60000.0,0.0531,24180.2891,0.1,0.0,0.9,0.0,-5.51
60000.0,0.0599,31509.7,0.1,0.0,0.9,0.0,-0.88
60000.0,0.0667,39771.0391,0.1,0.0,0.9,0.0,1.34
60000.0,0.0749,53686.2188,0.1,0.0,0.9,0.0,-1.55
60000.0,0.0838,69898.1719,0.1,0.0,0.9,0.0,0.49
60000.0,0.0943,93637.9219,0.1,0.0,0.9,0.0,0.93
60000.0,0.1047,124768.609,0.1,0.0,0.9,0.0,-3.63
60000.0,0.118,161189.25,0.1,0.0,0.9,0.0,-0.25
60000.0,0.1309,203074.906,0.1,0.0,0.9,0.0,1.65
60000.0,0.1473,276632.531,0.1,0.0,0.9,0.0,-3.06
60000.0,0.1656,351336.438,0.1,0.0,0.9,0.0,1.37
60000.0,0.1857,458329.906,0.1,0.0,0.9,0.0,-0.08
60000.0,0.2067,586285.0,0.1,0.0,0.9,0.0,-1.12
60000.0,0.2306,734854.812,0.1,0.0,0.9,0.0,1.49
60000.0,0.2605,976232.25,0.1,0.0,0.9,0.0,-1.88
60000.0,0.2924,1215853.75,0.1,0.0,0.9,0.0,2.55
70000.0,0.0189,2125.36,0.1,0.0,0.9,0.0,-7.14
70000.0,0.0215,2485.43,0.1,0.0,0.9,0.0,10.91
70000.0,0.024,3492.86,0.1,0.0,0.9,0.0,3.05
70000.0,0.0272,5226.25,0.1,0.0,0.9,0.0,-2.01
70000.0,0.0303,6861.7,0.1,0.0,0.9,0.0,-0.99
70000.0,0.0342,9190.41,0.1,0.0,0.9,0.0,-1.14
70000.0,0.038,11628.8496,0.1,0.0,0.9,0.0,1.74
70000.0,0.0423,15620.6,0.1,0.0,0.9,0.0,-2.08
70000.0,0.0475,20764.5293,0.1,0.0,0.9,0.0,1.68
70000.0,0.0537,29082.1191,0.1,0.0,0.9,0.0,-1.12
70000.0,0.0598,37287.25,0.1,0.0,0.9,0.0,0.89
70000.0,0.0668,47710.1094,0.1,0.0,0.9,0.0,2.99
70000.0,0.075,64479.8789,0.1,0.0,0.9,0.0,0.09
70000.0,0.0843,85956.5234,0.1,0.0,0.9,0.0,0.65
70000.0,0.0935,112514.43,0.1,0.0,0.9,0.0,-0.78
70000.0,0.1051,147970.844,0.1,0.0,0.9,0.0,0.19
70000.0,0.1174,189134.328,0.1,0.0,0.9,0.0,2.06
70000.0,0.1318,249905.844,0.1,0.0,0.9,0.0,1.23
70000.0,0.1475,328855.375,0.1,0.0,0.9,0.0,0.5
70000.0,0.1659,425792.031,0.1,0.0,0.9,0.0,2.13
70000.0,0.1846,555272.438,0.1,0.0,0.9,0.0,-1.44
70000.0,0.2064,702036.125,0.1,0.0,0.9,0.0,1.13
70000.0,0.232,927501.75,0.1,0.0,0.9,0.0,-1.06
70000.0,0.2609,1192942.0,0.1,0.0,0.9,0.0,0.33
70000.0,0.2895,1499796.38,0.1,0.0,0.9,0.0,-1.47
80000.0,0.0166,1807.63,0.1,0.0,0.9,0.0,-4.47
80000.0,0.0194,2505.17,0.1,0.0,0.9,0.0,-4.45
80000.0,0.0216,2917.64,0.1,0.0,0.9,0.0,9.03
80000.0,0.024,4220.78,0.1,0.0,0.9,0.0,-0.61
80000.0,0.027,6101.18,0.1,0.0,0.9,0.0,-2.43
80000.0,0.0302,8048.29,0.1,0.0,0.9,0.0,-0.43
80000.0,0.0336,10497.5098,0.1,0.0,0.9,0.0,-1.42
80000.0,0.0381,13796.8203,0.1,0.0,0.9,0.0,1.23
80000.0,0.0424,17904.6504,0.1,0.0,0.9,0.0,4.32
80000.0,0.0474,25109.3301,0.1,0.0,0.9,0.0,-1.44
80000.0,0.0534,33899.9219,0.1,0.0,0.9,0.0,0.23
80000.0,0.0596,45166.2695,0.1,0.0,0.9,0.0,-1.34
80000.0,0.067,60329.0703,0.1,0.0,0.9,0.0,-2.95
80000.0,0.0743,74888.9,0.1,0.0,0.9,0.0,1.4
80000.0,0.0834,99366.4766,0.1,0.0,0.9,0.0,1.62
80000.0,0.0936,135447.875,0.1,0.0,0.9,0.0,-1.86
80000.0,0.1047,173979.969,0.1,0.0,0.9,0.0,1.01
80000.0,0.1173,232786.016,0.1,0.0,0.9,0.0,-1.8
80000.0,0.132,305346.594,0.1,0.0,0.9,0.0,0.95
80000.0,0.1476,409263.062,0.1,0.0,0.9,0.0,-2.39
80000.0,0.1645,512599.875,0.1,0.0,0.9,0.0,0.23
80000.0,0.1844,660929.188,0.1,0.0,0.9,0.0,-0.85
80000.0,0.2066,825934.25,0.1,0.0,0.9,0.0,3.3
80000.0,0.2323,1115409.5,0.1,0.0,0.9,0.0,-1.1
80000.0,0.2598,1423388.75,0.1,0.0,0.9,0.0,0.06
90000.0,0.0152,1538.43,0.1,0.0,0.9,0.0,1.43
90000.0,0.0172,2163.0,0.1,0.0,0.9,0.0,-4.6
90000.0,0.0191,2419.07,0.1,0.0,0.9,0.0,13.23
90000.0,0.0215,3570.23,0.1,0.0,0.9,0.0,2.71
90000.0,0.024,5160.48,0.1,0.0,0.9,0.0,-2.95
90000.0,0.0268,6949.8,0.1,0.0,0.9,0.0,-1.31
90000.0,0.0304,9240.45,0.1,0.0,0.9,0.0,1.86
90000.0,0.0337,12151.79,0.1,0.0,0.9,0.0,-0.77
90000.0,0.0376,15421.7695,0.1,0.0,0.9,0.0,3.77
90000.0,0.0424,22270.4902,0.1,0.0,0.9,0.0,-2.66
90000.0,0.0473,29402.4902,0.1,0.0,0.9,0.0,-0.67
90000.0,0.0533,39415.0,0.1,0.0,0.9,0.0,0.01
90000.0,0.0596,52478.9297,0.1,0.0,0.9,0.0,-1.22
90000.0,0.0662,65975.6719,0.1,0.0,0.9,0.0,2.1
90000.0,0.074,88355.1875,0.1,0.0,0.9,0.0,0.15
90000.0,0.0836,120955.859,0.1,0.0,0.9,0.0,-1.37
90000.0,0.0934,155615.391,0.1,0.0,0.9,0.0,0.7
90000.0,0.1048,203175.75,0.1,0.0,0.9,0.0,1.88
90000.0,0.1176,269794.75,0.1,0.0,0.9,0.0,1.6
90000.0,0.1316,363959.875,0.1,0.0,0.9,0.0,-1.32
90000.0,0.1466,478540.5,0.1,0.0,0.9,0.0,-3.48
90000.0,0.1647,609116.0,0.1,0.0,0.9,0.0,-0.95
90000.0,0.1844,767038.0,0.1,0.0,0.9,0.0,1.39
90000.0,0.2072,1009964.38,0.1,0.0,0.9,0.0,-0.75
90000.0,0.2315,1304555.5,0.1,0.0,0.9,0.0,-0.59
100000.0,0.0138,1373.82,0.1,0.0,0.9,0.0,-1.02
100000.0,0.0151,1697.67,0.1,0.0,0.9,0.0,1.61
100000.0,0.0174,2233.55,0.1,0.0,0.9,0.0,12.51
100000.0,0.0191,3150.87,0.1,0.0,0.9,0.0,-1.32
100000.0,0.0218,4608.99,0.1,0.0,0.9,0.0,-3.23
100000.0,0.0243,6156.75,0.1,0.0,0.9,0.0,-1.48
100000.0,0.0271,8055.31,0.1,0.0,0.9,0.0,1.46
100000.0,0.0304,10778.9,0.1,0.0,0.9,0.0,0.85
100000.0,0.0342,14116.46,0.1,0.0,0.9,0.0,3.97
100000.0,0.0381,19238.4609,0.1,0.0,0.9,0.0,-0.42
100000.0,0.0425,25779.0703,0.1,0.0,0.9,0.0,-1.02
100000.0,0.0478,34886.5391,0.1,0.0,0.9,0.0,-0.53
100000.0,0.0538,46374.1797,0.1,0.0,0.9,0.0,0.65
100000.0,0.0603,60467.9492,0.1,0.0,0.9,0.0,2.69
100000.0,0.0669,78618.5,0.1,0.0,0.9,0.0,1.62
100000.0,0.0751,107603.273,0.1,0.0,0.9,0.0,-1.23
100000.0,0.0841,142340.312,0.1,0.0,0.9,0.0,-0.92
100000.0,0.0944,186675.953,0.1,0.0,0.9,0.0,-0.26
100000.0,0.1057,247566.297,0.1,0.0,0.9,0.0,-1.1
100000.0,0.1186,325774.688,0.1,0.0,0.9,0.0,-0.02
100000.0,0.1319,417916.375,0.1,0.0,0.9,0.0,-0.12
100000.0,0.1479,528667.688,0.1,0.0,0.9,0.0,3.73
100000.0,0.1656,698316.25,0.1,0.0,0.9,0.0,1.35
100000.0,0.1865,934232.188,0.1,0.0,0.9,0.0,-1.66
100000.0,0.2087,1176466.75,0.1,0.0,0.9,0.0,1.37
110000.0,0.0136,1486.82,0.1,0.0,0.9,0.0,3.69
110000.0,0.0153,1891.65,0.1,0.0,0.9,0.0,8.18
110000.0,0.0171,2994.1,0.1,0.0,0.9,0.0,-12.2
110000.0,0.0193,3964.02,0.1,0.0,0.9,0.0,-7.42
110000.0,0.0213,4857.98,0.1,0.0,0.9,0.0,1.11
110000.0,0.0241,6820.24,0.1,0.0,0.9,0.0,-0.21
110000.0,0.0268,9111.51,0.1,0.0,0.9,0.0,0.38
110000.0,0.0299,12187.3896,0.1,0.0,0.9,0.0,-1.57
110000.0,0.0338,17039.3496,0.1,0.0,0.9,0.0,-5.04
110000.0,0.038,22053.2402,0.1,0.0,0.9,0.0,-1.17
110000.0,0.0423,28184.4805,0.1,0.0,0.9,0.0,2.41
110000.0,0.0476,39053.6797,0.1,0.0,0.9,0.0,-0.44
110000.0,0.0531,52156.9883,0.1,0.0,0.9,0.0,-0.46
110000.0,0.0589,68529.3828,0.1,0.0,0.9,0.0,-2.51
110000.0,0.0666,91810.75,0.1,0.0,0.9,0.0,-1.22
110000.0,0.0743,118600.57,0.1,0.0,0.9,0.0,1.2
110000.0,0.0832,155477.062,0.1,0.0,0.9,0.0,2.09
110000.0,0.0935,207643.844,0.1,0.0,0.9,0.0,0.9
110000.0,0.1049,273115.781,0.1,0.0,0.9,0.0,2.69
110000.0,0.117,377313.219,0.1,0.0,0.9,0.0,-4.44
110000.0,0.1304,454376.594,0.1,0.0,0.9,0.0,3.91
110000.0,0.147,614658.938,0.1,0.0,0.9,0.0,-0.36
110000.0,0.1655,817004.938,0.1,0.0,0.9,0.0,-1.38
110000.0,0.1844,1027441.25,0.1,0.0,0.9,0.0,1.83
120000.0,0.0121,1191.87,0.1,0.0,0.9,0.0,15.51
120000.0,0.0136,1849.17,0.1,0.0,0.9,0.0,-5.63
120000.0,0.0151,2289.67,0.1,0.0,0.9,0.0,-0.84
120000.0,0.0168,2781.29,0.1,0.0,0.9,0.0,10.05
120000.0,0.0189,3810.45,0.1,0.0,0.9,0.0,9.39
120000.0,0.0211,5175.15,0.1,0.0,0.9,0.0,5.93
120000.0,0.0239,7338.04,0.1,0.0,0.9,0.0,4.99
120000.0,0.0266,10653.6797,0.1,0.0,0.9,0.0,-4.74
120000.0,0.03,13588.75,0.1,0.0,0.9,0.0,2.84
120000.0,0.0333,17418.8398,0.1,0.0,0.9,0.0,5.06
120000.0,0.0374,23544.5195,0.1,0.0,0.9,0.0,2.8
120000.0,0.0422,31680.6,0.1,0.0,0.9,0.0,3.08
120000.0,0.0474,42481.9219,0.1,0.0,0.9,0.0,4.02
120000.0,0.0526,58877.7,0.1,0.0,0.9,0.0,-2.68
120000.0,0.0592,75883.2578,0.1,0.0,0.9,0.0,3.01
120000.0,0.0657,99452.4922,0.1,0.0,0.9,0.0,2.08
120000.0,0.0738,136422.453,0.1,0.0,0.9,0.0,-1.22
120000.0,0.0827,179578.156,0.1,0.0,0.9,0.0,-0.72
120000.0,0.0931,235143.203,0.1,0.0,0.9,0.0,0.83
120000.0,0.1037,311904.812,0.1,0.0,0.9,0.0,-1.22
120000.0,0.1158,403172.938,0.1,0.0,0.9,0.0,0.83
120000.0,0.1307,552332.562,0.1,0.0,0.9,0.0,-3.6
120000.0,0.1468,697751.312,0.1,0.0,0.9,0.0,0.56
120000.0,0.163,891519.5,0.1,0.0,0.9,0.0,0.21
