,airgap,frequency,thickness,dis_ver,current,analytical ac/dc,measured ac/dc,dcloss,acloss,error,abs error
0,0.0005,50000.0,3.5000000000000004e-05,0.001,1.0,1.000017483640585,1.0066590017346677,0.009998899809916,0.010065482501095,0.006597584765683341,0.006597584765683341
1,0.0005,50000.0,3.5000000000000004e-05,0.002,1.0,1.000017483640585,1.0079395882607276,0.009998899809916,0.010078286957467,0.007859701823809398,0.007859701823809398
2,0.0005,50000.0,3.5000000000000004e-05,0.003,1.0,1.000017483640585,1.008330649051748,0.009998899809916,0.010082197135136,0.008244483512408208,0.008244483512408208
3,0.0005,155555.55555556001,3.5000000000000004e-05,0.001,1.0,1.0001692133688886,1.0338872163466402,0.009998899809916,0.010337734691003,0.03261284446179533,0.03261284446179533
4,0.0005,155555.55555556001,3.5000000000000004e-05,0.002,1.0,1.0001692133688886,1.0453169902351296,0.009998899809916,0.010452019854964,0.04319051281859063,0.04319051281859063
5,0.0005,155555.55555556001,3.5000000000000004e-05,0.003,1.0,1.0001692133688886,1.0503490925217331,0.009998899809916,0.010502335341561,0.04777447756190279,0.04777447756190279
6,0.0005,261111.11111111002,3.5000000000000004e-05,0.001,1.0,1.0004767130980412,1.069831706483002,0.009998899809916,0.010697140046595,0.0648279472039211,0.0648279472039211
7,0.0005,261111.11111111002,3.5000000000000004e-05,0.002,1.0,1.0004767130980412,1.0917121708053903,0.009998899809916,0.010915920617149,0.08357098157112404,0.08357098157112404
8,0.0005,261111.11111111002,3.5000000000000004e-05,0.003,1.0,1.0004767130980412,1.1029495595253542,0.009998899809916,0.011028282141085,0.0929080079341175,0.0929080079341175
9,0.0005,366666.66666667,3.5000000000000004e-05,0.001,1.0,1.0009398596693528,1.1056449493984755,0.009998899809916,0.011055233074375,0.09470046400165558,0.09470046400165558
10,0.0005,366666.66666667,3.5000000000000004e-05,0.002,1.0,1.0009398596693528,1.1341629394789656,0.009998899809916,0.01134038159997,0.11746379216977013,0.11746379216977013
11,0.0005,366666.66666667,3.5000000000000004e-05,0.003,1.0,1.0009398596693528,1.1474936516836036,0.009998899809916,0.011473674055699,0.12771642945407755,0.12771642945407755
12,0.0005,472222.22222222004,3.5000000000000004e-05,0.001,1.0,1.001558467688221,1.1371263563985565,0.009998899809916,0.011370012508844,0.11921972254666459,0.11921972254666459
13,0.0005,472222.22222222004,3.5000000000000004e-05,0.002,1.0,1.001558467688221,1.1745707991266154,0.009998899809916,0.01174441574012,0.14729834214084203,0.14729834214084203
14,0.0005,472222.22222222004,3.5000000000000004e-05,0.003,1.0,1.001558467688221,1.190538940249768,0.009998899809916,0.011904079583361,0.15873523004791423,0.15873523004791423
15,0.0005,577777.77777778,3.5000000000000004e-05,0.001,1.0,1.002332289723241,1.164347025588189,0.009998899809916,0.01164218925283,0.13914643341241292,0.13914643341241292
