dw (mm),D (mm),F (mm),dgap1 (mm),dgap2 (mm),fs (Hz),Vpri/mf.ICoil_p1 (Ω),#NAME?,Vpri/mf3.ICoil_5 (惟),#NAME?
5,10,3,0.5,0.75,1.00E+06,0.45735+22.353i,0.19758+10.790i,0.11897607509599005+5.545440387979083i,0.1975466302362445+10.789548189566075i
5,10,3,0.5,1,5.00E+05,0.29435+11.271i,0.12262+5.4371i,0.07855089954326994+2.797388280672972i,0.12261705255124083+5.437070983720716i
5,10,3,0.5,1,1.00E+06,0.45791+22.347i,0.19783+10.787i,0.11914078199471546+5.544093606980822i,0.1978650748356851+10.786728670610096i
5,10,3,0.75,0.25,5.00E+05,0.23282+8.0225i,0.093240+3.8274i,0.0627898708450723+1.9833727970773056i,0.09317310986815774+3.8273166879627816i
5,10,3,0.75,0.25,1.00E+06,0.35386+15.896i,0.14777+7.5898i,0.09236334121569705+3.9280437470880427i,0.14754423254260166+7.5896722053181715i
5,10,3,0.75,0.5,5.00E+05,0.23233+8.0220i,0.093012+3.8272i,0.06271359724118782+1.983281211968424i,0.09301478692976416+3.827176492715265i
5,10,3,0.75,0.5,1.00E+06,0.35249+15.895i,0.14717+7.5896i,0.09216917916568826+3.9279719785702207i,0.14717339922618627+7.589618472956427i
5,10,3,0.75,0.75,5.00E+05,0.23284+8.0220i,0.093275+3.8272i,0.06284426234733308+1.9833503804418382i,0.09333173411898887+3.8272602586882973i
5,10,3,0.75,0.75,1.00E+06,0.35384+15.895i,0.14786+7.5893i,0.0924824851682091+3.9279666327812772i,0.14790252486523667+7.589425851013262i
5,10,3,0.75,1,5.00E+05,0.23292+8.0217i,0.093320+3.8270i,0.06287383060209274+1.9831881508039517i,0.09331963352088168+3.8269983317053398i
5,10,3,0.75,1,1.00E+06,0.35379+15.894i,0.14786+7.5889i,0.09253038727647567+3.927583335480012i,0.14785724585577745+7.588872194170126i
5,10,3,1,0.25,5.00E+05,0.19680+6.3694i,0.076331+3.0111i,0.05354666252593925+1.5690705471722919i,0.07631251120298656+3.0113208804453326i
5,10,3,1,0.25,1.00E+06,0.29554+12.616i,0.12020+5.9696i,0.0774955647637275+3.106139443615535i,0.12026982454523348+5.969982294187502i
5,10,3,1,0.5,5.00E+05,0.19557+6.3727i,0.075704+3.0128i,0.05324209076156099+1.5698216413811579i,0.07570348388057183+3.0128195849563397i
5,10,3,1,0.5,1.00E+06,0.29331+12.623i,0.11904+5.9736i,0.07690166839653573+3.1079393967619557i,0.11904927435259463+5.9735802924024455i
5,10,3,1,0.75,5.00E+05,0.19553+6.3723i,0.075708+3.0126i,0.05324758434624929+1.5697043340393868i,0.07571004481194804+3.012600476164345i
5,10,3,1,0.75,1.00E+06,0.29314+12.623i,0.11905+5.9731i,0.07689972557319434+3.107709972814961i,0.11905028842227566+5.973152041462366i
5,10,3,1,1,5.00E+05,0.19597+6.3706i,0.075932+3.0117i,0.0533370429882335+1.5692871042795467i,0.07593264233787743+3.011720889866906i
5,10,3,1,1,1.00E+06,0.29386+12.619i,0.11943+5.9712i,0.07704669093153955+3.106802442367771i,0.11943557504695557+5.971189918469232i
5,15,1,0.25,0.25,5.00E+05,0.58512+43.914i,0.27658+21.910i,0.15126824639691852+10.954385173162152i,0.2767823768324462+21.90976104262129i
5,15,1,0.25,0.25,1.00E+06,1.0652+87.411i,0.51522+43.616i,0.27114096152708206+21.80151367171575i,0.5147771475225817+43.61452973375557i
5,15,1,0.25,0.5,5.00E+05,0.58786+43.915i,0.27796+21.910i,0.15164054990576142+10.954628697931401i,0.27749274724083806+21.910276001557495i
5,15,1,0.25,0.5,1.00E+06,1.0672+87.409i,0.51622+43.614i,0.27180444543138044+21.801372511538037i,0.5160470607373024+43.61434328458894i
5,15,1,0.25,0.75,5.00E+05,0.58710+43.909i,0.27756+21.907i,0.15164438374327274+10.95302291216868i,0.2775122256414579+21.90702646180346i
5,15,1,0.25,0.75,1.00E+06,1.0672+87.397i,0.51617+43.609i,0.2716599945701915+21.798383303313383i,0.5157768748503591+43.608271977471524i
5,15,1,0.25,1,5.00E+05,0.58571+43.913i,0.27686+21.909i,0.15155726167245653+10.953995039841015i,0.2773462934990251+21.908969589199376i
5,15,1,0.25,1,1.00E+06,1.0632+87.408i,0.51417+43.614i,0.27162254477835573+21.80028421674545i,0.5157214747379394+43.61205460909019i
5,15,1,0.5,0.25,5.00E+05,0.39079+23.446i,0.18017+11.681i,0.10194681450366647+5.834562591150411i,0.18014500389926566+11.68054633519018i
5,15,1,0.5,0.25,1.00E+06,0.63941+46.623i,0.30323+23.230i,0.163578523777107+11.599882666334528i,0.30330205897476814+23.230394353621083i
5,15,1,0.5,0.5,5.00E+05,0.39075+23.447i,0.18015+11.681i,0.10210562324681155+5.834693715451645i,0.18045740891248693+11.680809625172555i
5,15,1,0.5,0.5,1.00E+06,0.64024+46.625i,0.30363+23.231i,0.16425951735320057+11.600043393318272i,0.3046321732643824+23.23072130147296i
5,15,1,0.5,0.75,5.00E+05,0.39035+23.449i,0.17994+11.682i,0.10183790662912917+5.835205992299463i,0.1799280420168502+11.68185688852931i
5,15,1,0.5,0.75,1.00E+06,0.63959+46.629i,0.30329+23.234i,0.16358520553948072+11.601434131803273i,0.3033086091587144+23.233539166364423i
5,15,1,0.5,1,5.00E+05,0.39038+23.448i,0.17996+11.681i,0.10186318633328617+5.835238370528879i,0.17996811590922485+11.681912166383027i
5,15,1,0.5,1,1.00E+06,0.63971+46.627i,0.30335+23.233i,0.16349082717864657+11.601325716741687i,0.30310513859880217+23.233323720233404i
5,15,1,0.75,0.25,5.00E+05,0.30361+16.316i,0.13708+8.1174i,0.07975583199776999+4.0504818900642015i,0.1370845764771104+8.117420361713114i
5,15,1,0.75,0.25,1.00E+06,0.48106+32.428i,0.22463+16.137i,0.12316598434297+8.04886045713681i,0.22465692292300682+16.137398739415513i
5,15,1,0.75,0.5,5.00E+05,0.30323+16.317i,0.13689+8.1181i,0.07963537960990652+4.050921032134094i,0.1368427524005879+8.118331966136479i
5,15,1,0.75,0.5,1.00E+06,0.48102+32.432i,0.22459+16.139i,0.12292907042757674+8.049925133082144i,0.2241882665843567+16.139589351307226i
5,15,1,0.75,0.75,5.00E+05,0.30480+16.314i,0.13769+8.1164i,0.08007670242560395+4.04998645463725i,0.13770394696201882+8.116426764461005i
5,15,1,0.75,0.75,1.00E+06,0.48395+32.423i,0.22609+16.135i,0.12390895297219758+8.047466922953427i,0.2260958591849326+16.134636757287314i
5,15,1,0.75,1,5.00E+05,0.30462+16.315i,0.13760+8.1169i,0.08005020877444687+4.049847725564661i,0.13763733994112853+8.116132806441652i
5,15,1,0.75,1,1.00E+06,0.48385+32.425i,0.22602+16.136i,0.12380978142107937+8.047125076186088i,0.22586138935446973+16.133940967621403i
5,15,1,1,0.25,5.00E+05,0.25235+12.690i,0.11182+6.3056i,0.06668677820823626+3.1431324368007023i,0.11182230719435908+6.305630357479954i
5,15,1,1,0.25,1.00E+06,0.39498+25.214i,0.18198+12.532i,0.101138922548087+6.243805499390955i,0.18196632408872013+12.532492145363106i
5,15,1,1,0.5,5.00E+05,0.25027+12.696i,0.11079+6.3090i,0.06637820588983212+3.1443143246804928i,0.11122112457541711+6.308092005242071i
5,15,1,1,0.5,1.00E+06,0.39062+25.230i,0.17982+12.540i,0.10045518892871448+6.246594806379051i,0.1806448595879576+12.538243833673983i
5,15,1,1,0.75,5.00E+05,0.25089+12.693i,0.11109+6.3074i,0.06631366417009754+3.1440043639997013i,0.11109431312979388+6.307424969232417i
5,15,1,1,0.75,1.00E+06,0.39152+25.223i,0.18024+12.537i,0.10026671380666541+6.2459493282560095i,0.1802655843734862+12.536862645816015i
5,15,1,1,1,5.00E+05,0.25161+12.691i,0.11145+6.3063i,0.06649893912426241+3.143457106138378i,0.11145677722966713+6.3063055333961255i
5,15,1,1,1,1.00E+06,0.39315+25.218i,0.18107+12.534i,0.10063747348868317+6.244759451008913i,0.18099987090333067+12.534434279862698i
5,15,2,0.25,0.25,5.00E+05,0.62950+44.071i,0.29336+21.917i,0.16359821230860982+10.994276124994165i,0.29473762635412165+21.917008742905647i
5,15,2,0.25,0.25,1.00E+06,1.2102+87.718i,0.57987+43.629i,0.3107153483745458+21.879376185940885i,0.5846666342211106+43.628506466748135i
5,15,2,0.25,0.5,5.00E+05,0.63093+44.069i,0.29408+21.916i,0.1630779966944396+10.994276742771056i,0.2936489115461299+21.91707705276444i
5,15,2,0.25,0.5,1.00E+06,1.2156+87.713i,0.58258+43.626i,0.30900342983413287+21.880106848624894i,0.5811526424520005+43.630161437802634i
5,15,2,0.25,0.75,5.00E+05,0.62981+44.069i,0.29352+21.916i,0.1627556879794207+10.994213713142392i,0.2930223717721518+21.916883018873115i
5,15,2,0.25,0.75,1.00E+06,1.2104+87.716i,0.57999+43.628i,0.3080841359677403+21.88016763301013i,0.5793449029515461+43.63013554610831i
5,15,2,0.25,1,5.00E+05,0.62988+44.072i,0.29355+21.917i,0.16333245381482245+10.99445476223273i,0.29417225060386376+21.917374954583416i
5,15,2,0.25,1,1.00E+06,1.2113+87.721i,0.58041+43.631i,0.30991316235288713+21.879980096557937i,0.582987571638331+43.62978813582145i
5,15,2,0.5,0.25,5.00E+05,0.41185+23.576i,0.18577+11.681i,0.1077756509397087+5.86715846046452i,0.18539567174506627+11.681579679048744i
5,15,2,0.5,0.25,1.00E+06,0.69380+46.875i,0.32332+23.231i,0.17763627608937144+11.663477757959345i,0.32261490120676223+23.232425253427053i
5,15,2,0.5,0.5,5.00E+05,0.41159+23.577i,0.18564+11.682i,0.10790375171581211+5.867212068190258i,0.1856575512508934+11.681654471525501i
5,15,2,0.5,0.5,1.00E+06,0.69330+46.879i,0.32307+23.233i,0.17818919140840017+11.663488065283218i,0.3236829662438164+23.23236377244103i
5,15,2,0.5,0.75,5.00E+05,0.41086+23.580i,0.18528+11.683i,0.10774436052996261+5.867613848497816i,0.18531864127679956+11.682483980188657i
5,15,2,0.5,0.75,1.00E+06,0.69240+46.886i,0.32264+23.236i,0.17769758189529788+11.664516444667203i,0.3227022883640825+23.23449144300218i
5,15,2,0.5,1,5.00E+05,0.41095+23.579i,0.18532+11.683i,0.10796321310316602+5.867031435904146i,0.18574745358010036+11.681317139204708i
5,15,2,0.5,1,1.00E+06,0.69155+46.882i,0.32219+23.234i,0.17825140313418286+11.662972877895701i,0.32376680532048396+23.231417732464696i
5,15,2,0.75,0.25,5.00E+05,0.31845+16.433i,0.13999+8.1164i,0.08402372738258054+4.079780527174447i,0.13960703940621316+8.117353595844646i
5,15,2,0.75,0.25,1.00E+06,0.51467+32.657i,0.23495+16.135i,0.13214652727574952+8.106118910950979i,0.23435800489727843+16.137462606732026i
5,15,2,0.75,0.5,5.00E+05,0.31806+16.432i,0.13981+8.1163i,0.08396691183165791+4.079884997002305i,0.13952919931979837+8.117610468974204i
5,15,2,0.75,0.5,1.00E+06,0.51216+32.657i,0.23371+16.135i,0.13167897817831414+8.106414256597965i,0.2335300459171197+16.138116982098392i
5,15,2,0.75,0.75,5.00E+05,0.31716+16.436i,0.13937+8.1182i,0.08375980788662658+4.080024384101762i,0.13913057700596224+8.117828951078508i
5,15,2,0.75,0.75,1.00E+06,0.51045+32.665i,0.23288+16.139i,0.13143389586769735+8.106914841417083i,0.23304386053671022+16.13897197533836i
5,15,2,0.75,1,5.00E+05,0.31789+16.433i,0.13973+8.1168i,0.08397509135761352+4.079727401322294i,0.13951221195089478+8.117286146801366i
5,15,2,0.75,1,1.00E+06,0.51236+32.659i,0.23381+16.136i,0.13169851800909158+8.10607057040808i,0.2334945055579253+16.137444230839428i
5,15,2,1,0.25,5.00E+05,0.26307+12.803i,0.11302+6.3060i,0.06985488420163098+3.1712011177284136i,0.11260795375731067+6.307004951810292i
5,15,2,1,0.25,1.00E+06,0.41501+25.437i,0.18606+12.534i,0.10665075689743847+6.299266716845587i,0.18549620300994218+12.536420119841823i
5,15,2,1,0.5,5.00E+05,0.26109+12.808i,0.11203+6.3086i,0.0699241994634758+3.1711496571363127i,0.11270460260067273+6.306946921864858i
5,15,2,1,0.5,1.00E+06,0.41041+25.449i,0.18375+12.540i,0.10670897523012164+6.299066013135228i,0.1855217581667134+12.536159425593663i
5,15,2,1,0.75,5.00E+05,0.26367+12.803i,0.11333+6.3059i,0.06984888894972048+3.171353783032826i,0.1125660067088287+6.307354865995769i
5,15,2,1,0.75,1.00E+06,0.41623+25.436i,0.18668+12.533i,0.1065223995381085+6.299587848298779i,0.18517800393506695+12.537191151733586i
5,15,2,1,1,5.00E+05,0.26246+12.805i,0.11273+6.3072i,0.06963176327277679+3.171822869139101i,0.11215567260939178+6.308275812516254i
5,15,2,1,1,1.00E+06,0.41377+25.442i,0.18544+12.537i,0.10608657565916904+6.300718158273478i,0.1843541323466998+12.53939050863688i
5,15,3,0.25,0.25,5.00E+05,0.68339+44.280i,0.31453+21.918i,0.17710807698071326+11.046647506614695i,0.31455177325264855+21.918017926886172i
5,15,3,0.25,0.25,1.00E+06,1.3814+88.121i,0.65673+43.628i,0.3514812815866979+21.98091533738361i,0.6563482903750413+43.627950754541416i
5,15,3,0.25,0.5,5.00E+05,0.68177+44.284i,0.31370+21.920i,0.17646511136291715+11.048357755338428i,0.31320951987023415+21.92157806600483i
5,15,3,0.25,0.5,1.00E+06,1.3754+88.132i,0.65371+43.634i,0.3491266879688052+21.98507353591865i,0.6515581754370328+43.63663246301567i
5,15,3,0.25,0.75,5.00E+05,0.68189+44.286i,0.31375+21.921i,0.17673306771440742+11.048147401282137i,0.3137670232567126+21.92114196034871i
5,15,3,0.25,0.75,1.00E+06,1.3738+88.135i,0.65287+43.635i,0.3497383038656395+21.984290580924476i,0.6527938279033243+43.635014710445525i
5,15,3,0.25,1,5.00E+05,0.67961+44.283i,0.31260+21.920i,0.176146118167175+11.047438138975801i,0.31257201284749564+21.919700644258448i
5,15,3,0.25,1,1.00E+06,1.3666+88.132i,0.64920+43.634i,0.34790619212435536+21.98359152943234i,0.6490932064579344+43.63360005500143i
5,15,3,0.5,0.25,5.00E+05,0.43434+23.761i,0.19174+11.681i,0.1143269244353184+5.913255620623051i,0.19171972840917578+11.6816786048165i
5,15,3,0.5,0.25,1.00E+06,0.74990+47.235i,0.34351+23.229i,0.1928115705246296+11.752837249715471i,0.3436707924031938+23.23044075621618i
5,15,3,0.5,0.5,5.00E+05,0.43584+23.760i,0.19250+11.681i,0.11471155682813965+5.9128190264188145i,0.1924912788926516+11.680790138015098i
5,15,3,0.5,0.5,1.00E+06,0.75344+47.232i,0.34529+23.228i,0.19361376577480302+11.751480694328128i,0.34528253669628045+23.227684692756945i
5,15,3,0.5,0.75,5.00E+05,0.43553+23.763i,0.19234+11.682i,0.11466725185997896+5.913520799681481i,0.1923493715597996+11.682292843676969i
5,15,3,0.5,0.75,1.00E+06,0.75362+47.239i,0.34538+23.231i,0.19372548218185368+11.753068000261923i,0.3453877930100435+23.231123032885325i
5,15,3,0.5,1,5.00E+05,0.43439+23.762i,0.19174+11.682i,0.11461355702070139+5.912805606394435i,0.19223699201438688+11.68079282528765i
5,15,3,0.5,1,1.00E+06,0.74932+47.237i,0.34316+23.230i,0.19357826712562368+11.751537826149175i,0.34505417571177543+23.22793553177382i
5,15,3,0.75,0.25,5.00E+05,0.33467+16.603i,0.14326+8.1169i,0.08901033319380522+4.121458368508638i,0.14326389513819554+8.11694704551777i
5,15,3,0.75,0.25,1.00E+06,0.54881+32.988i,0.24483+16.135i,0.1416914159488962+8.186859083216019i,0.24483992167581176+16.13458274083216i
5,15,3,0.75,0.5,5.00E+05,0.33426+16.602i,0.14306+8.1164i,0.08891919410762182+4.1211507681330835i,0.14306762297337944+8.116369926379056i
5,15,3,0.75,0.5,1.00E+06,0.54692+32.986i,0.24391+16.134i,0.1412155926299091+8.186373851001479i,0.24391043469685358+16.13370931887611i
5,15,3,0.75,0.75,5.00E+05,0.33462+16.601i,0.14325+8.1159i,0.08900006769829613+4.120999614788114i,0.14330234282259685+8.115977470295356i
5,15,3,0.75,0.75,1.00E+06,0.54795+32.984i,0.24448+16.132i,0.14145386849860506+8.185908392992028i,0.2445121234878114+16.132500639356827i
5,15,3,0.75,1,5.00E+05,0.33378+16.603i,0.14283+8.1171i,0.08879593936665543+4.121530161521801i,0.14283112956760885+8.117109449442713i
5,15,3,0.75,1,1.00E+06,0.54631+32.990i,0.24368+16.135i,0.14109833839717875+8.187252718859934i,0.24366769849135558+16.1354105236827i
5,15,3,1,0.25,5.00E+05,0.27524+12.963i,0.11462+6.3071i,0.07383849649458495+3.210067613074969i,0.11461971399209842+6.307114163801839i
5,15,3,1,0.25,1.00E+06,0.43848+25.750i,0.19115+12.535i,0.11354553293992009+6.374912723933849i,0.19116265048234302+12.535406594338259i
5,15,3,1,0.5,5.00E+05,0.27623+12.960i,0.11512+6.3058i,0.07405853457783304+3.2094472472806674i,0.11505704757847006+6.305839195173731i
5,15,3,1,0.5,1.00E+06,0.44024+25.743i,0.19205+12.532i,0.11402633202826448+6.3733912340527255i,0.192077764572156+12.53229932790188i
5,15,3,1,0.75,5.00E+05,0.27527+12.965i,0.11465+6.3081i,0.073854321909238+3.2105383100500093i,0.1146443002241483+6.308130644772177i
5,15,3,1,0.75,1.00E+06,0.43831+25.754i,0.19109+12.537i,0.1135247579213688+6.375834306808831i,0.19110518334965018+12.537414199913638i
5,15,3,1,1,5.00E+05,0.27436+12.965i,0.11421+6.3081i,0.0736147062618245+3.210579836511105i,0.114218738950604+6.308122144312641i
5,15,3,1,1,1.00E+06,0.43679+25.755i,0.19039+12.538i,0.11312093201672231+6.376160594810298i,0.1903828738479126+12.537811619025357i
10,5,1,0.25,0.25,5.00E+05,0.20439+5.4705i,0.086371+2.6828i,0.05320047139329383+1.3607364721711457i,0.08634391817833292+2.682632645119154i
10,5,1,0.25,0.25,1.00E+06,0.32892+10.802i,0.14494+5.3019i,0.08442644165081227+2.685699854500678i,0.14486920159950592+5.301699422557397i
10,5,1,0.25,0.5,5.00E+05,0.20333+5.4733i,0.085839+2.6842i,0.0530689615123238+1.3607083400213051i,0.08607302157530827+2.68257401111506i
10,5,1,0.25,0.5,1.00E+06,0.32604+10.809i,0.14349+5.3054i,0.08413443291790577+2.68582500749214i,0.14425836947274226+5.301956109551718i
10,5,1,0.25,0.75,5.00E+05,0.20364+5.4718i,0.085988+2.6835i,0.05284088363276156+1.3612669727807458i,0.08562616113340277+2.683700925564212i
10,5,1,0.25,0.75,1.00E+06,0.32706+10.805i,0.14398+5.3036i,0.0833838526468852+2.6871735323105037i,0.14278216011556064+5.304663656758676i
10,5,1,0.25,1,5.00E+05,0.20366+5.4721i,0.085997+2.6836i,0.052928922338429336+1.3611364276741582i,0.08579753038454238+2.6834383919775577i
10,5,1,0.25,1,1.00E+06,0.32712+10.806i,0.14402+5.3040i,0.08363071908298078+2.686764033681166i,0.14326642924477104+5.303848092747041i
10,5,1,0.5,0.25,5.00E+05,0.15253+3.1303i,0.061259+1.5173i,0.0401412618679279+0.7744996158595098i,0.06133020702291178+1.5172501896587585i
10,5,1,0.5,0.25,1.00E+06,0.23051+6.1653i,0.096996+2.9923i,0.05948798976074417+1.5242709666294272i,0.09689298263958057+2.992203262968708i
10,5,1,0.5,0.5,5.00E+05,0.15292+3.1292i,0.061454+1.5168i,0.04031739907396547+0.7742518031856879i,0.06167812209052967+1.5167582280682335i
10,5,1,0.5,0.5,1.00E+06,0.23112+6.1626i,0.097301+2.9910i,0.05992009961661213+1.5235724941032422i,0.09774551523177676+2.990820734807004i
10,5,1,0.5,0.75,5.00E+05,0.15289+3.1300i,0.061442+1.5172i,0.04018141638785268+0.7743843484754642i,0.06140676427060097+1.5170260044960722i
10,5,1,0.5,0.75,1.00E+06,0.23114+6.1642i,0.097313+2.9918i,0.059560957229702824+1.5239868438214679i,0.09702712568136272+2.9916547053792475i
10,5,1,0.5,1,5.00E+05,0.15267+3.1303i,0.061331+1.5173i,0.040193534788585054+0.7745191532056005i,0.06142364432698656+1.5172978327116171i
10,5,1,0.5,1,1.00E+06,0.23088+6.1651i,0.097186+2.9922i,0.059666500363061606+1.5242287766651987i,0.0972139365902678+2.992153943840738i
10,5,1,0.75,0.25,5.00E+05,0.12557+2.3176i,0.048350+1.1133i,0.033344035735730325+0.5706749290276891i,0.0485915670311265+1.1132149201869959i
10,5,1,0.75,0.25,1.00E+06,0.18537+4.5610i,0.075229+2.1944i,0.048139761779872885+1.1219085298763987i,0.07552712736554622+2.194133737151824i
10,5,1,0.75,0.5,5.00E+05,0.12565+2.3176i,0.048391+1.1133i,0.03327702145008324+0.5707120952201621i,0.04844903982832936+1.113289812823367i
10,5,1,0.75,0.5,1.00E+06,0.18543+4.5610i,0.075256+2.1944i,0.04797475803396375+1.122053254488507i,0.07518062235964122+2.1944360616674i
10,5,1,0.75,0.75,5.00E+05,0.12542+2.3182i,0.048277+1.1136i,0.03314187026631652+0.5709906023755293i,0.048185815828555044+1.1138449452251376i
10,5,1,0.75,0.75,1.00E+06,0.18483+4.5623i,0.074975+2.1951i,0.04772221871717918+1.122758216771147i,0.07468663492883806+2.195833354510001i
10,5,1,0.75,1,5.00E+05,0.12560+2.3178i,0.048363+1.1134i,0.03328918086847798+0.5705711790991937i,0.048473553209630135+1.1130051671953236i
10,5,1,0.75,1,1.00E+06,0.18548+4.5615i,0.075280+2.1947i,0.04801388280165594+1.1217743785219947i,0.07525203392206511+2.1938716389147364i
10,5,1,1,0.25,5.00E+05,0.10895+1.9077i,0.040432+0.90967i,0.02890513696375753+0.46784601155623035i,0.040323545661817874+0.9096775056206061i
10,5,1,1,0.25,1.00E+06,0.15860+3.7534i,0.062380+1.7932i,0.04100060609981984+0.9195856471103725i,0.06213943630090152+1.7933587226934065i
10,5,1,1,0.5,5.00E+05,0.10857+1.9075i,0.040248+0.90960i,0.02902255963827612+0.4676799646331295i,0.04055395012349418+0.9093425189983543i
10,5,1,1,0.5,1.00E+06,0.15789+3.7536i,0.062034+1.7933i,0.04130167803331186+0.9191189304546492i,0.0627251560529752+1.792424340303451i
10,5,1,1,0.75,5.00E+05,0.10879+1.9078i,0.040354+0.90975i,0.028934288895584807+0.46776167008410857i,0.040383992828926414+0.9095117268891936i
10,5,1,1,0.75,1.00E+06,0.15837+3.7540i,0.062263+1.7935i,0.04104055734616305+0.9194136760839706i,0.06222053486778817+1.793015676348078i
10,5,1,1,1,5.00E+05,0.10882+1.9076i,0.040375+0.90965i,0.028940603477567606+0.4677016489779137i,0.040393289849037554+0.90937659240057i
10,5,1,1,1,1.00E+06,0.15843+3.7535i,0.062318+1.7932i,0.04110711233725691+0.9192756094406682i,0.06234297084113887+1.7927129702713982i
10,5,2,0.25,0.25,5.00E+05,0.21618+5.6053i,0.086869+2.6792i,0.05683603534157236+1.3945957978788333i,0.0868694247917742+2.6791722223540337i
10,5,2,0.25,0.25,1.00E+06,0.34868+11.065i,0.14674+5.2948i,0.09003038975152411+2.7517537068489792i,0.1467429743629562+5.2948103134105455i
10,5,2,0.25,0.5,5.00E+05,0.21590+5.6068i,0.086721+2.6799i,0.056782198363916+1.3949567546282016i,0.08672405932466229+2.6799346480166926i
10,5,2,0.25,0.5,1.00E+06,0.34799+11.069i,0.14638+5.2966i,0.08989910488613755+2.7525880082710983i,0.14638332990449923+5.2966061166210325i
10,5,2,0.25,0.75,5.00E+05,0.21579+5.6053i,0.086653+2.6792i,0.0567193684447344+1.3943304163699117i,0.08660956366548885+2.678659992626618i
10,5,2,0.25,0.75,1.00E+06,0.34755+11.066i,0.14615+5.2953i,0.0896856856311152+2.751409900174878i,0.14597981408074004+5.2941923018822115i
10,5,2,0.25,1,5.00E+05,0.21616+5.6072i,0.086836+2.6802i,0.056827972474798774+1.3950826751653436i,0.08683635038425666+2.680157347277231i
10,5,2,0.25,1,1.00E+06,0.34900+11.070i,0.14687+5.2970i,0.09012153093729305+2.7528136694382748i,0.1468638123108471+5.296973561944772i
10,5,2,0.5,0.25,5.00E+05,0.16324+3.2542i,0.061713+1.5155i,0.04353384679291961+0.8050183899447269i,0.061712593922788696+1.5155012389778175i
10,5,2,0.5,0.25,1.00E+06,0.24719+6.4069i,0.098092+2.9884i,0.06447672411060784+1.583603640831404i,0.09809317539634639+2.9884246883309755i
10,5,2,0.5,0.5,5.00E+05,0.16284+3.2544i,0.061503+1.5156i,0.04342212313958315+0.805062828178239i,0.06150315066357778+1.5155766656468634i
10,5,2,0.5,0.5,1.00E+06,0.24593+6.4078i,0.097459+2.9889i,0.06414346490381923+1.5838151839364467i,0.09745901293434552+2.988803753288502i
10,5,2,0.5,0.75,5.00E+05,0.16265+3.2551i,0.061408+1.5160i,0.04338960680565345+0.8052477870069429i,0.06140791862250999+1.5159693071643414i
10,5,2,0.5,0.75,1.00E+06,0.24551+6.4094i,0.097244+2.9897i,0.06407511007791276+1.5842364233548756i,0.09724319432205758+2.9897263367185336i
10,5,2,0.5,1,5.00E+05,0.16318+3.2546i,0.061671+1.5157i,0.043532008943316686+0.8051065030651657i,0.06167112518045688+1.5157057848958995i
10,5,2,0.5,1,1.00E+06,0.24693+6.4077i,0.097956+2.9889i,0.06445251055308156+1.5837991387444088i,0.09795592900718371+2.9889162750357205i
10,5,2,0.75,0.25,5.00E+05,0.13557+2.4314i,0.048854+1.1113i,0.03647181765121698+0.5983625313290925i,0.04885671547439925+1.1113541387997388i
10,5,2,0.75,0.25,1.00E+06,0.20051+4.7826i,0.076236+2.1902i,0.052580187012304935+1.1757775304676443i,0.07624362106873439+2.190239592506592i
10,5,2,0.75,0.5,5.00E+05,0.13529+2.4323i,0.048719+1.1118i,0.03640229434295047+0.5985802511697099i,0.04871893462365084+1.1118106575724382i
10,5,2,0.75,0.5,1.00E+06,0.19995+4.7849i,0.075954+2.1913i,0.05242290896709567+1.1762848472346439i,0.07595289139125451+2.1913017491617155i
10,5,2,0.75,0.75,5.00E+05,0.13482+2.4342i,0.048490+1.1127i,0.03628454407260333+0.5990387604724806i,0.04849021970812955+1.1127444267768603i
10,5,2,0.75,0.75,1.00E+06,0.19896+4.7891i,0.075473+2.1934i,0.052172230801358715+1.1773074027396426i,0.07547265282217458+2.1933711571739045i
10,5,2,0.75,1,5.00E+05,0.13481+2.4330i,0.048476+1.1121i,0.03629805627916844+0.5987061666657392i,0.04848693000443589+1.1120832154279159i
10,5,2,0.75,1,1.00E+06,0.19884+4.7866i,0.075386+2.1922i,0.05215925577276531+1.1766404798961263i,0.0753675471105435+2.1920830474994366i
10,5,2,1,0.25,5.00E+05,0.11738+2.0166i,0.040512+0.90872i,0.031807595529765594+0.4940359547224056i,0.04051197044142591+0.9087165546656125i
10,5,2,1,0.25,1.00E+06,0.17069+3.9667i,0.062412+1.7913i,0.04493164285917784+0.9705998115078681i,0.062411734983540634+1.791310511150809i
10,5,2,1,0.5,5.00E+05,0.11713+2.0167i,0.040392+0.90874i,0.031735597075607185+0.4940595894464425i,0.040391870523886444+0.9087446472300306i
10,5,2,1,0.5,1.00E+06,0.17041+3.9671i,0.062269+1.7915i,0.04483544197145274+0.9707323902597184i,0.06226859505921536+1.791504236795112i
10,5,2,1,0.75,5.00E+05,0.11725+2.0167i,0.040447+0.90874i,0.0317619519145197+0.4940791806923528i,0.040445248227956844+0.9087824524194348i
10,5,2,1,0.75,1.00E+06,0.17060+3.9670i,0.062351+1.7914i,0.04489477341713876+0.9707500857325669i,0.06238553540729543+1.791539375264554i
10,5,2,1,1,5.00E+05,0.11731+2.0166i,0.040479+0.90871i,0.031777766151078524+0.4940451596485303i,0.04047922835666275+0.9087109771890711i
10,5,2,1,1,1.00E+06,0.17072+3.9668i,0.062430+1.7914i,0.04491489282949301+0.9706641854995575i,0.06242976514187864+1.7913534065754393i
