,prediction error
0,3.1259318111750485
1,2.530239463539789
2,1.1948750281916005
3,2.1349571206322704
4,5.693574702944455
5,3.2022240690555592
6,7.724152997160528
7,3.6878130195302568
8,0.4226719118935385
9,6.79225682983127
10,0.3145909490080957
11,3.476141816878225
12,8.290604847186925
13,5.897894869865707
14,3.3763487924182756
15,0.5795949469883345
16,0.433316654906102
17,1.3757295817374635
18,10.414360833854644
19,7.143360315184251
20,3.646492636993183
21,4.234175425643258
22,2.620888665598869
23,1.1857785997020935
24,1.5335938744113795
25,5.409911440941999
26,1.4851721022145605
27,6.001477606408417
28,10.365708805931162
29,1.0214931363156847
30,4.5354354898964315
31,0.9611051187711377
32,0.12247308847579068
33,0.8869433439921027
34,1.694093064653942
35,0.24235859588029995
36,6.869119833324394
37,3.888502567952868
38,3.20767230426687
39,1.4035650936209534
40,0.31876813579826363
41,3.937494212722766
42,6.205672961173431
43,1.9374931500907289
44,1.2548225522198586
45,2.080737605441429
46,2.0543397139351436
47,0.22320169041233293
48,12.588386974963962
49,2.9894851741436184
50,0.845177013912225
51,5.75875621358578
52,0.033180676047614335
53,1.855277883941567
54,7.077985700093827
55,3.3365235172189722
56,3.643675301529093
57,2.669786112746944
58,0.7466783639873411
59,3.904978433903596
60,1.8714747091709274
61,4.649588731798093
62,17.63919659956888
63,3.120230280087225
64,0.8319771791393679
65,8.008280175769608
66,6.096435901223851
67,1.8160020913074464
68,6.268902410730598
69,8.447523197344822
70,1.4025894205417468
71,11.930914260837199
72,0.8219350699125404
73,3.169842825327107
74,3.2863675109409294
75,3.262940444917482
76,2.461963683721425
77,0.40416560383728695
78,0.20330997059670175
79,1.8990801726762314
80,8.948994407002868
81,1.1246618768687286
82,0.6013064771567578
83,10.016520665949983
84,4.169165360945903
85,5.094751365660516
86,9.128581569526473
87,1.8046965406896271
88,0.8398410970334014
89,0.5912166056304391
90,2.3098929941194877
91,2.680790860253117
92,0.5376450097818757
93,4.470810780508788
94,1.3826038906882532
95,1.0321521848808461
96,4.642274572129379
97,1.4349829986725935
98,0.10600124672348446
99,1.2010973419672244
100,2.5528418899027834
101,1.987823846544663
102,2.057066403368281
103,1.035833029154074
104,1.4785935274325357
105,2.6371809895118847
106,1.4079144596485529
107,2.063489874918577
108,3.3843580920936334
109,0.06267874010843866
110,3.3720071298041674
111,18.014689959900316
112,6.990859498269713
113,1.4202631281353997
114,3.4460090411357833
115,1.4373638926587502
116,0.8241151793292224
117,2.987592575446746
118,1.3206428454103447
119,3.565193756381278
120,3.835098814440671
121,4.9100480984071115
122,5.925154095747525
123,3.0977325636933766
124,8.341756437879392
125,3.2115096308865154
126,1.7545640015247905
127,0.03986237503928318
128,2.299351692779539
129,4.458167245507888
130,1.4128868585512937
131,0.5295348844844618
132,0.8267119754500084
133,1.3442236826592524
134,1.7843368446869634
135,1.390026032204833
136,1.0129824288163047
137,1.4670985998604194
138,0.7533437368651704
139,3.38836349340676
140,0.4766945504120465
141,4.459453958620648
142,9.263226381957802
143,0.89847875195149
144,21.31033774903713
145,6.187104483382661
146,5.8974406872817475
147,6.767460280563972
148,1.6424332659148828
149,1.1694005947545205
150,6.3515185581239235
151,1.8136411410977893
152,2.6179948460724614
153,0.6137627392310284
154,0.057463705891911125
155,3.1671020463420794
156,2.4337043283667246
157,0.6786314890270955
158,0.49320728076949233
159,2.4324603729481433
160,3.446515884651659
161,2.990879109056475
162,1.9108770437020692
163,1.3086279769128846
164,5.550089457427369
165,1.8677751986311197
166,0.9400115865507195
167,2.929598437017434
168,4.945191064746741
169,0.0037134144856529254
170,3.2256850511115145
171,0.29739562162664473
172,1.504648669966797
173,8.628012399884689
174,5.599599824033318
175,3.70114163324925
176,3.642016829296176
177,1.003025233476114
178,2.934824463178215
179,4.247189037787278
180,1.2259711524879255
181,6.712136263858786
182,4.0391089983485005
183,0.28384128257562824
184,8.243249597017613
185,0.2359244324927816
186,2.207949000402633
187,3.411121421063263
188,8.432732677102926
189,3.245221312204714
190,1.284909063061618
191,3.386441776911458
192,0.20865368341795654
193,3.1744306771946933
194,10.78066830187483
195,4.610151261963136
196,5.13149168288316
197,0.2032615166596101
198,1.8267925197493018
199,1.5614053621865827
200,14.478656891280293
201,2.199442893097845
202,1.7285206445318018
203,2.603279564861766
204,1.4708542218530323
205,1.788998047410418
206,1.4191645259015704
207,0.7664734470452934
208,2.5866975774993644
209,11.30622120965325
210,2.0416145497265563
211,8.199347617807977
212,0.9133767925210173
213,5.347993484963075
214,1.2702090905469974
215,0.9172707999499531
216,2.557101208409183
217,1.3989461099284826
218,2.1104401153367585
219,12.416599032941726
220,4.088139051688255
221,2.7251716137783273
222,4.7520643608010165
223,17.671387038041548
224,0.22033402203919006
225,5.034694442044186
226,1.432935839738177
227,1.5804815753517536
228,2.7111278051740935
229,1.1208805404482511
230,1.5515059734833139
231,2.5317548331983937
232,2.0757483199037523
233,0.8800341079027801
234,2.263711255670049
235,2.060506427448229
236,5.462999573075436
237,2.134158715114581
238,0.11900028208677291
239,0.9519835508080471
240,1.988907196470757
241,0.3345983416412844
242,0.38343451470397394
243,1.670958631829246
244,0.9412413778339674
245,2.4507561160013775
246,3.8843412649730187
247,2.003937559424803
248,0.10913331835452071
249,6.591246878182336
250,2.9850121410668997
251,0.34353835312486447
252,1.6342347000708422
253,0.5435895822806777
254,0.7263373703240793
255,3.202354319221833
256,0.6114132671483263
257,3.3671693231024076
258,3.9326097601032197
259,2.3075811018493724
260,1.1127432344021675
261,3.567208861449014
262,2.561143570238751
263,0.09168618992324054
264,1.550430816147689
265,3.492720507461437
266,5.830299790090517
267,2.829719778071966
268,2.5593006685146973
269,5.490529760908203
270,0.9779085984695219
271,2.0464725835904902
272,1.4940020272363796
273,1.9291293473610702
274,1.978371160818854
275,4.18847412056869
276,14.26332308397687
277,1.4578156794365913
278,0.16908633139594015
279,0.15076495018174774
280,1.8919694169131684
281,4.998891693258454
282,9.505703708937697
283,6.458475943796146
284,0.7156637746908412
285,2.9653458788346563
286,0.03899619429457658
287,4.360101964928074
288,0.8720425907549308
289,1.2609544097837364
290,1.672224630426755
291,6.3097256759274725
292,5.1409986316478085
293,3.157862769015085
294,1.640512613593567
295,2.7965313019119313
296,3.5981859806694203
297,10.529360987120677
298,1.8966449824451372
299,2.2980752232103008
300,7.229521712200775
301,0.30659532713041754
302,0.2815663045801435
303,7.859554535211962
304,0.7375526503030101
305,5.1290249974956446
306,0.9798453158223257
307,0.8756363565145769
308,0.1362164572378626
309,2.9127883457064963
310,4.3878812529055
311,1.6878720163388248
312,1.208992114974631
