,frequency,peak flux density,duty cycle,loss calculted by iGSE,loss calculted by SE,Measured loss,ratio igse,ratio se,error for iGSE,error for SE,loss error percent by iGSE
226,140000,0.0299,0.1,14.54675842,0.591206121,18.0248691,1.239098676,30.48829919,0.192961772,0.967200532,1.239098676
6,50000,0.0534,0.1,14.55542334,0.591558279,17.8193496,1.224241246,30.12272879,0.18316753,0.966802476,1.224241245
1886,50000,0.0535,0.9,14.62680092,0.594459191,15.4041699,1.05314689,25.91291401,0.050464841,0.961409203,1.05314689
1842,490000,0.017,0.4,14.72263195,0.85414821,17.9721699,1.22071719,21.0410438,0.180809439,0.952473841,1.22071719
2341,250000,0.0217,0.9,14.77364378,0.600427145,25.5048496,1.726375022,42.47784234,0.420751582,0.976458315,1.726375022
2687,460000,0.0154,0.9,14.78841348,0.601027412,45.02475,3.04459637,74.91297252,0.671549237,0.986651177,3.04459637
2033,110000,0.0345,0.9,14.82767216,0.602622955,17.5272,1.182060125,29.0848529,0.154019344,0.965617842,1.182060124
878,70000,0.051,0.4,14.83751139,0.860813056,17.6274902,1.188035496,20.4777217,0.158274308,0.951166442,1.188035495
512,280000,0.0204,0.1,14.85234842,0.603625842,29.4231797,1.981045614,48.74406901,0.495216065,0.979484684,1.981045614
613,340000,0.0183,0.1,14.87898145,0.604708255,36.9378789,2.482554268,61.08380131,0.597189067,0.983629048,2.482554268
1908,60000,0.0486,0.9,14.88131125,0.604802943,16.4848,1.107751845,27.25648112,0.097270743,0.963311478,1.107751845
828,490000,0.0149,0.1,14.88798358,0.605074118,50.9881289,3.424784063,84.26757546,0.708010788,0.988133039,3.424784062
476,260000,0.0213,0.1,14.90860431,0.605912181,26.3193691,1.765381155,43.43759694,0.433550088,0.976978469,1.765381155
970,120000,0.0378,0.4,14.99209864,0.86978159,14.5941504,0.973456135,16.77909784,-0.027267654,0.94040204,0.973456135
2552,370000,0.0175,0.9,14.99260988,0.609326317,36.1726797,2.412700656,59.36503757,0.585526701,0.983155068,2.412700657
2434,300000,0.0197,0.9,15.00575423,0.609860526,30.2896191,2.0185336,49.66646931,0.504590857,0.979865692,2.0185336
1204,220000,0.0269,0.4,15.03529483,0.87228766,12.4006201,0.824767338,14.21620489,-0.212463144,0.929657739,0.824767338
748,430000,0.0161,0.1,15.04107769,0.611296135,44.5004414,2.958593946,72.79686367,0.662001607,0.986263144,2.958593945
1618,390000,0.0195,0.4,15.06061839,0.873756832,14.8939805,0.988935521,17.04591021,-0.011188271,0.941334902,0.988935522
400,220000,0.0235,0.1,15.07456839,0.612657256,23.9762305,1.590508589,39.13481847,0.371270292,0.974447307,1.590508589
494,270000,0.021,0.1,15.18656663,0.617209064,28.2264102,1.858643292,45.7323326,0.461973148,0.978133632,1.858643293
317,180000,0.0264,0.1,15.20824309,0.618090034,21.4864805,1.41281806,34.76270336,0.292194778,0.971233538,1.41281806
1641,400000,0.0193,0.4,15.21680259,0.882818015,15.2003604,0.998919471,17.21799979,-0.001081698,0.941921245,0.998919471
2416,290000,0.0202,0.9,15.24205886,0.619464367,28.3601094,1.860648201,45.78166382,0.462552889,0.978157194,1.860648201
1105,180000,0.0303,0.4,15.27440192,0.886159697,12.54829,0.821524146,14.16030321,-0.217249675,0.929380043,0.821524146
645,360000,0.0179,0.1,15.27644983,0.620862077,40.4480391,2.647738156,65.14818765,0.622319149,0.984650379,2.647738157
2658,440000,0.016,0.9,15.30744209,0.622121658,43.9167109,2.868977759,70.59183736,0.651443795,0.985834056,2.868977758
178,120000,0.0333,0.1,15.36401222,0.624420768,17.4188398,1.133742902,27.89599689,0.117965812,0.964152563,1.133742902
1473,330000,0.0216,0.4,15.3877966,0.892738402,13.5268301,0.879062185,15.15206478,-0.13757595,0.934002394,0.879062185
1326,270000,0.0242,0.4,15.41486631,0.894308879,13.3151201,0.863784339,14.88872627,-0.157696378,0.932835087,0.863784339
720,410000,0.0167,0.1,15.43036599,0.627117503,43.1534,2.796654339,68.81230359,0.64242989,0.985467715,2.796654339
2106,140000,0.0306,0.9,15.45413082,0.628083348,18.9958496,1.229176187,30.24415416,0.18644698,0.966935759,1.229176188
2583,390000,0.0172,0.9,15.48462245,0.629322582,39.6202383,2.558682876,62.95696267,0.609173919,0.984116133,2.558682875
597,330000,0.0189,0.1,15.49244553,0.629640526,34.6617617,2.237333133,55.05008059,0.553039293,0.981834722,2.237333133
2263,210000,0.0244,0.9,15.53025193,0.631177046,22.4777793,1.447354454,35.61247901,0.309084242,0.971919955,1.447354454
790,460000,0.0157,0.1,15.55356603,0.632124572,54.0653594,3.47607483,85.52959621,0.712319197,0.988308141,3.476074831
1664,410000,0.0192,0.4,15.56725746,0.903150004,16.0846299,1.033234656,17.80947775,0.032165642,0.943850122,1.033234656
841,500000,0.015,0.1,15.60804583,0.634338728,51.0702617,3.272047139,80.50944936,0.694380931,0.987579098,3.272047138
1863,500000,0.0172,0.4,15.63809554,0.907259746,19.0059395,1.215361516,20.94873005,0.177199552,0.952264409,1.215361516
2177,170000,0.0276,0.9,15.70402418,0.638239458,20.0859492,1.279031984,31.47086716,0.218158723,0.968224581,1.279031984
1035,150000,0.034,0.4,15.78423243,0.915738024,14.0742695,0.891666387,15.36931866,-0.121495679,0.934935307,0.891666387
78,80000,0.0424,0.1,15.90749005,0.646508673,17.9046504,1.125548427,27.69437,0.111544225,0.963891578,1.125548427
2701,470000,0.0157,0.9,16.05389299,0.652458749,47.7055,2.971584527,73.11649981,0.663479201,0.986323197,2.971584526
930,100000,0.043,0.4,16.05661382,0.931540503,16.6698594,1.038192709,17.89493784,0.036787687,0.944118275,1.038192709
1498,340000,0.0216,0.4,16.07916442,0.932848798,14.7211201,0.915540119,15.78082121,-0.092251426,0.936631942,0.915540118
420,230000,0.0235,0.1,16.09407185,0.654091689,27.1915195,1.689536356,41.57141874,0.408121644,0.975945011,1.689536355
1687,420000,0.0192,0.4,16.12944112,0.935765651,16.7553496,1.038805342,17.90549758,0.03735574,0.944151231,1.038805342
2742,500000,0.0152,0.9,16.15805738,0.656692175,52.6804102,3.260318302,80.22085873,0.693281481,0.987534414,3.260318302
629,350000,0.0186,0.1,16.20210888,0.658482506,38.2492812,2.360759422,58.08701196,0.576407494,0.982784448,2.360759422
1351,280000,0.0242,0.4,16.26267873,0.943495564,13.6941201,0.842058084,14.51423899,-0.187566533,0.93110214,0.842058084
2469,320000,0.0196,0.9,16.28331499,0.661782867,34.2674219,2.10444998,51.78046095,0.524816456,0.980687696,2.10444998
250,150000,0.0301,0.1,16.38507539,0.66591859,19.9868809,1.219822334,30.01400051,0.180208484,0.966682216,1.219822334
2058,120000,0.0342,0.9,16.47357154,0.669515231,18.8468809,1.144067688,28.15004055,0.125925843,0.964476072,1.144067688
1958,80000,0.043,0.9,16.5028186,0.670703884,17.8848594,1.083745743,26.66580562,0.077274345,0.962498789,1.083745743
1228,230000,0.0272,0.4,16.52445045,0.958682512,13.5098,0.817564254,14.09204803,-0.223145453,0.929037994,0.817564254
879,70000,0.0532,0.4,16.56984596,0.961316178,19.2965,1.164555183,20.07300037,0.141303036,0.950181837,1.164555184
1523,350000,0.0215,0.4,16.5778348,0.961779659,15.1532402,0.914066305,15.75541763,-0.09401254,0.936529769,0.914066305
762,440000,0.0165,0.1,16.5899614,0.674245522,49.3024297,2.971823051,73.12236877,0.663506211,0.986324294,2.971823051
2199,180000,0.0273,0.9,16.6014389,0.674711988,23.3494199,1.406469646,34.60649924,0.288999942,0.971103694,1.406469646
2673,450000,0.0163,0.9,16.60984074,0.675053454,46.4309219,2.795386339,68.78110411,0.642267695,0.985461123,2.79538634
1710,430000,0.0192,0.4,16.69798146,0.968750087,17.9514395,1.075066441,18.53051653,0.069824932,0.946034964,1.075066441
129,100000,0.0381,0.1,16.70488961,0.678916409,19.2384609,1.151666449,28.33700975,0.131693034,0.964710461,1.151666449
439,240000,0.0233,0.1,16.75604789,0.680995572,28.5964199,1.706632739,41.99207906,0.414050851,0.976185985,1.706632738
2568,380000,0.018,0.9,16.78485162,0.682166207,39.4813711,2.352202569,57.87646866,0.574866547,0.982721821,2.35220257
547,300000,0.0206,0.1,16.86497138,0.685422417,35.5436797,2.10754462,51.85660524,0.525514198,0.980716054,2.10754462
803,470000,0.016,0.1,16.86840662,0.685562031,54.2657109,3.217002775,79.15507051,0.689151651,0.987366571,3.217002774
2009,100000,0.0383,0.9,16.93514465,0.688274383,19.3785293,1.144278936,28.15523834,0.126087208,0.964482631,1.144278936
1375,290000,0.0241,0.4,16.94050237,0.98282018,14.47229,0.854301111,14.72526744,-0.170547465,0.932089519,0.854301111
1130,190000,0.0306,0.4,16.97152455,0.984619963,14.06629,0.828817114,14.28600935,-0.206538792,0.930001446,0.828817114
2283,220000,0.0246,0.9,16.98993712,0.690501246,26.2043301,1.542344148,37.94972167,0.351636273,0.973649346,1.542344149
2361,260000,0.0224,0.9,17.0065544,0.691176602,28.8215801,1.694733655,41.69929945,0.409936779,0.976018782,1.694733655
2452,310000,0.0203,0.9,17.03301984,0.692252205,32.8142188,1.926506228,47.40211524,0.480925633,0.978903895,1.926506228
530,290000,0.0211,0.1,17.0821584,0.694249283,33.7152695,1.973712496,48.56363604,0.493340595,0.979408461,1.973712497
2715,480000,0.0159,0.9,17.11652059,0.695645824,49.7714883,2.907804074,71.54716751,0.656097875,0.986023206,2.907804074
691,390000,0.0179,0.1,17.18696572,0.698508839,49.19475,2.862328977,70.42824264,0.650634149,0.985801151,2.862328976
2398,280000,0.0216,0.9,17.24651511,0.700929032,33.2664609,1.928880164,47.4605265,0.481564475,0.978929859,1.928880165
2629,420000,0.0172,0.9,17.26962518,0.701868266,47.5834883,2.755328376,67.79546904,0.637066852,0.985249752,2.755328376
339,190000,0.0269,0.1,17.29630815,0.70295271,23.9118,1.382479995,34.01622849,0.276662227,0.970602267,1.382479995
2599,400000,0.0177,0.9,17.32317509,0.70404463,43.6380586,2.519056603,61.98194935,0.60302599,0.983866271,2.519056603
2503,340000,0.0194,0.9,17.33235283,0.704417629,37.7319609,2.176967044,53.56475952,0.54064532,0.981331009,2.176967044
661,370000,0.0185,0.1,17.33722449,0.704615623,43.4960703,2.508825465,61.73020989,0.601407107,0.983800476,2.508825465
991,130000,0.0382,0.4,17.33773936,1.005866281,15.72575,0.907024248,15.63403635,-0.102506358,0.936036991,0.907024248
1547,360000,0.0216,0.4,17.49076305,1.014744103,17.0587402,0.975299943,16.81087887,-0.025325601,0.94051471,0.975299943
1058,160000,0.0341,0.4,17.4913087,1.01477576,14.8843896,0.850959174,14.66766372,-0.175144509,0.931822817,0.850959174
1733,440000,0.0193,0.4,17.50901512,1.015803016,18.7859297,1.072928978,18.49367388,0.06797186,0.945927456,1.072928978
2380,270000,0.0222,0.9,17.56151311,0.713731111,30.3499102,1.728205879,42.52289095,0.421365237,0.976483255,1.728205879
53,70000,0.0475,0.1,17.5874628,0.714785752,20.7645293,1.180643822,29.05000448,0.153004504,0.965576597,1.180643822
950,110000,0.0422,0.4,17.59003761,1.020503617,17.5357598,0.996914287,17.18343719,-0.003095264,0.941804425,0.996914287
1253,240000,0.0272,0.4,17.59293487,1.020671704,14.7627197,0.839127741,14.46372976,-0.19171367,0.93086154,0.839127741
1155,200000,0.0302,0.4,17.68375563,1.025940761,14.4146201,0.815133414,14.05014855,-0.226793041,0.928826375,0.815133414
2131,150000,0.031,0.9,17.69717921,0.719244822,21.0265508,1.188130071,29.23420532,0.15834131,0.965793495,1.188130072
864,60000,0.0596,0.4,17.77275105,1.031103919,21.6,1.215343643,20.94842198,0.177187451,0.952263707,1.215343642
865,60000,0.0596,0.4,17.77275105,1.031103919,21.7710098,1.224965665,21.11427316,0.183650588,0.952638673,1.224965664
1400,300000,0.0241,0.4,17.80745534,1.033117324,15.7803496,0.886165333,15.27449907,-0.128457594,0.934531405,0.886165333
203,130000,0.0337,0.1,17.83365584,0.724791475,21.8437402,1.224860477,30.13796513,0.183580482,0.966819259,1.224860477
2304,230000,0.0245,0.9,17.94681381,0.729390416,27.4579902,1.529964622,37.64512063,0.346390115,0.973436132,1.529964622
2487,330000,0.02,0.9,17.96215452,0.73001389,36.7175,2.04415901,50.29698818,0.510801266,0.980118094,2.044159009
776,450000,0.0168,0.1,17.97524084,0.730545741,51.8626602,2.885227556,70.99166731,0.653406887,0.98591384,2.885227556
1755,450000,0.0193,0.4,18.09798193,1.049972514,19.9669297,1.103268297,19.01662132,0.093602161,0.947414423,1.103268297
912,90000,0.0478,0.4,18.1325939,1.051980562,19.5196191,1.07649348,18.55511385,0.071058005,0.946106502,1.076493479
273,160000,0.0302,0.1,18.17517782,0.738671535,23.553,1.295888284,31.88562018,0.228328543,0.9686379,1.295888284
816,480000,0.0163,0.1,18.26540705,0.742338612,58.0594609,3.178656832,78.21156001,0.685401711,0.987214166,3.178656831
1933,70000,0.0483,0.9,18.37253035,0.746692293,20.5084,1.116253429,27.46566449,0.104146089,0.963590905,1.116253429
1777,460000,0.0192,0.4,18.44097139,1.06987139,20.4347,1.108114077,19.10014623,0.097565837,0.94764438,1.108114078
1595,380000,0.0214,0.4,18.4847804,1.072413014,18.1919395,0.984157729,16.9635572,-0.016097289,0.9410501,0.984157729
1278,250000,0.0271,0.4,18.50359342,1.07350447,15.4681699,0.835954917,14.40904098,-0.196236758,0.930599129,0.835954917
581,320000,0.0206,0.1,18.54596754,0.753741089,40.0899219,2.161651681,53.18792154,0.537390779,0.981198739,2.16165168
2536,360000,0.0193,0.9,18.60091524,0.755974261,43.6559883,2.346980659,57.74798237,0.573920647,0.982683378,2.346980659
735,420000,0.0177,0.1,18.61325731,0.756475865,54.7836,2.943257007,72.41949484,0.66024034,0.986191563,2.943257007
1571,370000,0.0218,0.4,18.65489305,1.082282269,17.7951895,0.953915386,16.44228129,-0.048311008,0.939181189,0.953915386
1425,310000,0.0241,0.4,18.68816407,1.084212521,16.7066094,0.893967398,15.40898032,-0.118609026,0.935102779,0.893967397
29,60000,0.0531,0.1,18.75849498,0.762378582,24.1802891,1.289031403,31.71690505,0.22422371,0.968471073,1.289031403
2615,410000,0.018,0.9,18.77156533,0.762909784,46.9216,2.499610404,61.50347129,0.599937655,0.983740755,2.499610404
2729,490000,0.0163,0.9,18.82836785,0.765218339,52.8667,2.807821709,69.08707921,0.643852031,0.985525513,2.80782171
381,210000,0.0263,0.1,18.89420476,0.767894068,28.7499492,1.521627905,37.43999387,0.342809108,0.973290594,1.521627905
104,90000,0.0424,0.1,18.91944551,0.768919897,22.2704902,1.177121718,28.96334233,0.150470181,0.965473598,1.177121718
2083,130000,0.0345,0.9,18.96190941,0.770645706,21.5833301,1.138246662,28.0068129,0.121455803,0.964294402,1.138246663
2644,430000,0.0176,0.9,18.98599268,0.771624493,49.8663,2.626478417,64.62508701,0.619262053,0.984526133,2.626478417
2222,190000,0.0279,0.9,19.02836344,0.773346516,25.59425,1.34505787,33.09544877,0.256537564,0.969784365,1.34505787
1799,470000,0.0192,0.4,19.03418038,1.104287003,21.7413594,1.142227244,19.68814207,0.124517468,0.949208006,1.142227244
676,380000,0.0189,0.1,19.06870353,0.774986008,48.38725,2.537521753,62.43628853,0.605914708,0.983983673,2.537521753
564,310000,0.0212,0.1,19.07884754,0.775398279,38.9415586,2.041085475,50.22136321,0.510064614,0.980088155,2.041085476
154,110000,0.038,0.1,19.08963205,0.775836581,22.0532402,1.155247002,28.42511006,0.13438425,0.964819837,1.155247003
2323,240000,0.0245,0.9,19.10726941,0.776553394,30.8231,1.613160904,39.69218374,0.380099036,0.974806123,1.613160905
706,400000,0.0184,0.1,19.17215614,0.779190507,52.5900195,2.743041477,67.49314709,0.635441167,0.985183681,2.743041477
360,200000,0.0272,0.1,19.2018357,0.780396736,27.8662598,1.451228947,35.70781183,0.31092885,0.971994924,1.451228947
458,250000,0.024,0.1,19.22581198,0.781371175,32.2519805,1.677535416,41.27613295,0.403887399,0.975772924,1.677535416
1082,170000,0.0342,0.4,19.27120863,1.118038434,16.5079805,0.856613657,14.76512792,-0.167387412,0.932272852,0.856613657
1909,60000,0.0537,0.9,19.31777538,0.785108731,22.7081699,1.175506468,28.92359874,0.149302852,0.965426156,1.175506468
1013,140000,0.0382,0.4,19.33636167,1.121818353,17.2927305,0.894311494,15.41491138,-0.118178628,0.935127749,0.894311494
1821,480000,0.0191,0.4,19.36713084,1.123603457,21.9565098,1.133699668,19.54115543,0.117932175,0.948825953,1.133699668
2243,200000,0.0273,0.9,19.3869687,0.787920871,27.7891602,1.433393772,35.26897335,0.302354999,0.971646467,1.433393773
2342,250000,0.0241,0.9,19.43597439,0.789912549,32.3309297,1.663458134,40.92975829,0.3988427,0.975567899,1.663458134
1619,390000,0.0215,0.4,19.44089019,1.127882679,18.9859297,0.976597754,16.83324875,-0.023963034,0.940593761,0.976597754
1180,210000,0.0305,0.4,19.49817784,1.131206279,15.7738896,0.808993011,13.94430874,-0.236104622,0.928286155,0.808993011
2435,300000,0.0218,0.9,19.55596185,0.794789053,38.5921719,1.973422335,48.55649654,0.493266098,0.979405433,1.973422336
227,140000,0.0335,0.1,19.58228772,0.795858983,24.1174,1.231592567,30.3036097,0.188043167,0.967000631,1.231592567
2520,350000,0.02,0.9,19.58750773,0.796071133,42.0147109,2.144974822,52.77758376,0.533794061,0.981052562,2.144974822
2155,160000,0.0311,0.9,19.62569765,0.79762324,24.7542207,1.261316726,31.03497925,0.207177722,0.967778293,1.261316726
296,170000,0.0301,0.1,19.7003433,0.800656972,25.3229199,1.285405006,31.62767675,0.222035082,0.968382123,1.285405006
477,260000,0.0237,0.1,19.70957862,0.801032312,34.8314883,1.767236579,43.48325002,0.434144804,0.977002639,1.767236579
2417,290000,0.0223,0.9,19.74031753,0.802281595,36.1249102,1.830006541,45.02771898,0.453553866,0.977791458,1.830006541
2688,460000,0.0172,0.9,19.74455664,0.80245388,56.2501211,2.84889259,70.09763739,0.648986415,0.985734184,2.84889259
829,490000,0.0166,0.1,19.74796565,0.802592429,61.2195703,3.100044399,76.27728357,0.677423975,0.986889937,3.100044399
1449,320000,0.0242,0.4,19.79556159,1.148459295,17.6528594,0.891758454,15.37090559,-0.121379893,0.934942024,0.891758454
7,50000,0.0602,0.1,19.91286101,0.809294069,24.5141797,1.231072707,30.29081843,0.187700292,0.966986696,1.231072707
1984,90000,0.0433,0.9,19.98756096,0.812330008,22.1508594,1.108232237,27.26830128,0.097662055,0.963327382,1.108232237
614,340000,0.0205,0.1,20.02097201,0.813687892,46.0635586,2.300765346,56.61084435,0.565362021,0.98233554,2.300765347
2034,110000,0.0387,0.9,20.0228202,0.813763006,22.6209902,1.129760442,27.79800757,0.114856599,0.964026199,1.129760442
513,280000,0.0229,0.1,20.09402627,0.816656947,39.3961602,1.960590659,48.24077031,0.489949625,0.979270646,1.960590659
749,430000,0.018,0.1,20.13503346,0.818323552,58.2237812,2.89166548,71.1500739,0.654178532,0.985945201,2.89166548
495,270000,0.0234,0.1,20.15308387,0.819057153,37.5952188,1.865482178,45.90060494,0.463945562,0.978213795,1.865482179
1205,220000,0.0301,0.4,20.17188475,1.170292059,16.4655801,0.81626384,14.06963328,-0.225094083,0.928924942,0.81626384
1887,50000,0.0605,0.9,20.17337189,0.819881695,21.9937109,1.090234742,26.82546889,0.082766342,0.962721994,1.090234742
1302,260000,0.0274,0.4,20.17595734,1.170528335,17.0273691,0.843943552,14.54673808,-0.184913372,0.931256066,0.843943552
1843,490000,0.0192,0.4,20.23850289,1.174156977,23.3888496,1.155661055,19.91969563,0.134694385,0.94979843,1.155661055
895,80000,0.0533,0.4,20.26873776,1.175911084,22.4373594,1.106993423,19.08082992,0.096652266,0.947591378,1.106993423
971,120000,0.0425,0.4,20.36775477,1.181655654,19.2369102,0.944478683,16.27962439,-0.058785146,0.938573521,0.944478683
1642,400000,0.0216,0.4,20.42551116,1.185006449,20.2866895,0.993203516,17.11947603,-0.006842992,0.941586997,0.993203516
401,220000,0.0264,0.1,20.43532432,0.830527907,32.1884902,1.57513968,38.756663,0.365135668,0.974197985,1.57513968
721,410000,0.0186,0.1,20.45196145,0.831204069,55.2303516,2.700491673,66.44619975,0.629697062,0.98495023,2.700491674
2659,440000,0.0179,0.9,20.52697374,0.834252702,55.0215391,2.680450601,65.95308468,0.626928398,0.984837707,2.680450601
646,360000,0.0201,0.1,20.68494399,0.840672894,52.4083086,2.533645178,62.3409045,0.605311743,0.983959168,2.533645178
2553,370000,0.0198,0.9,20.70599608,0.841528488,47.0728711,2.27339322,55.93734707,0.56012889,0.982122856,2.27339322
1474,330000,0.0242,0.4,20.71296404,1.201683315,18.3920098,0.887946784,15.30520527,-0.126193617,0.934662751,0.887946784
179,120000,0.0374,0.1,20.81407355,0.845920949,23.5445195,1.13118268,27.83300204,0.115969491,0.964071429,1.13118268
318,180000,0.0298,0.1,20.87586713,0.84843235,29.2901,1.403060281,34.52261102,0.287272248,0.971033477,1.403060281
598,330000,0.0212,0.1,20.91826566,0.850155501,44.5949492,2.131866471,52.45504987,0.53092747,0.980936059,2.131866472
1327,270000,0.0272,0.4,20.92401576,1.213927692,17.8731,0.854190716,14.72336459,-0.170698746,0.932080742,0.854190716
1665,410000,0.0215,0.4,20.92624119,1.214056802,21.3372793,1.019642233,17.57519028,0.019263848,0.943101612,1.019642233
931,100000,0.0476,0.4,20.94415729,1.215096223,21.6260801,1.032559095,17.79783337,0.031532428,0.943813386,1.032559095
1106,180000,0.0342,0.4,20.96303855,1.216191638,17.7356191,0.846042383,14.58291485,-0.181973882,0.931426604,0.846042383
421,230000,0.026,0.1,20.96358769,0.851997469,33.8865195,1.616446574,39.77302836,0.381359077,0.974857333,1.616446574
791,460000,0.0176,0.1,20.9678127,0.852169181,68.8493594,3.283573751,80.79306426,0.695453772,0.9876227,3.283573751
1036,150000,0.038,0.4,21.11182188,1.224823452,18.4670801,0.874726975,15.07734039,-0.143213858,0.933675305,0.874726975
1864,500000,0.0193,0.4,21.13461436,1.22614578,24.8724102,1.176856591,20.28503511,0.150278795,0.950702575,1.176856591
2107,140000,0.0345,0.9,21.14775928,0.85948253,25.5358594,1.207497166,29.71073699,0.171840707,0.966342134,1.207497166
2584,390000,0.0194,0.9,21.21190014,0.862089329,51.6757305,2.43616697,59.94243144,0.589519104,0.983317327,2.43616697
2264,210000,0.0275,0.9,21.23212765,0.862911411,29.9811309,1.412064367,34.74415858,0.291816986,0.971218183,1.412064368
79,80000,0.0474,0.1,21.29049629,0.865283616,25.1093301,1.179368003,29.01861267,0.15208824,0.965539359,1.179368004
842,500000,0.0169,0.1,21.31955243,0.866464509,67.2505078,3.154405235,77.61484412,0.682983027,0.987115867,3.154405235
2178,170000,0.0311,0.9,21.45786791,0.872085896,27.3727793,1.275652335,31.38771012,0.216087352,0.968140396,1.275652335
2702,470000,0.0176,0.9,21.6423051,0.879581751,59.6796211,2.757544579,67.8499992,0.637358537,0.985261606,2.757544578
2743,500000,0.017,0.9,21.65097763,0.879934218,65.4872,3.02467635,74.422836,0.669386115,0.986563264,3.02467635
2470,320000,0.0219,0.9,21.76406937,0.884530468,43.3032695,1.989667868,48.95622148,0.497403554,0.979573587,1.989667868
1352,280000,0.0271,0.4,21.86325651,1.268418683,19.0244297,0.870155354,14.99854106,-0.149220074,0.933326849,0.870155354
852,50000,0.0715,0.4,21.87266188,1.268964345,26.1468496,1.195412325,20.60487334,0.163468555,0.951467792,1.195412326
1499,340000,0.0243,0.4,21.87821958,1.26928678,19.8131094,0.905608856,15.60963977,-0.104229484,0.935937023,0.905608856
1688,420000,0.0216,0.4,21.94662889,1.273255615,22.7583203,1.036984788,17.87411737,0.035665699,0.944053182,1.036984788
851,50000,0.0716,0.4,21.95273886,1.273610091,26.4094492,1.203013864,20.73589821,0.168754384,0.951774455,1.203013864
763,440000,0.0184,0.1,22.060191,0.896565377,63.9683203,2.899717428,71.34819383,0.655138811,0.985984228,2.899717427
1229,230000,0.0304,0.4,22.10188275,1.282262823,18.1360508,0.820565877,14.14378587,-0.218671198,0.929297572,0.820565877
2059,120000,0.0383,0.9,22.14927631,0.900185963,24.6471699,1.112775404,27.38008691,0.101346061,0.963477106,1.112775404
251,150000,0.0338,0.1,22.18702762,0.901720243,26.8455898,1.209967836,29.77152837,0.17353175,0.966410861,1.209967836
2362,260000,0.0248,0.9,22.19195939,0.901920679,37.3728281,1.684070678,41.4369345,0.406200694,0.975866941,1.684070678
130,100000,0.0425,0.1,22.23041712,0.903483669,25.7790703,1.159630526,28.53296765,0.137656368,0.964952822,1.159630526
1959,80000,0.0482,0.9,22.24289163,0.903990656,25.3734297,1.140743305,28.06824333,0.123378593,0.964372548,1.140743304
630,350000,0.021,0.1,22.25270656,0.904389552,50.2469102,2.258013427,55.55892379,0.557132837,0.982001091,2.258013427
2453,310000,0.0225,0.9,22.2911971,0.905953876,41.4253,1.858370361,45.72561705,0.46189413,0.978130421,1.858370361
440,240000,0.026,0.1,22.31911034,0.907088319,38.0154883,1.703270772,41.90935712,0.412894288,0.97613898,1.703270772
2010,100000,0.0426,0.9,22.36744381,0.909052678,24.8493398,1.110960198,27.33542335,0.099877744,0.963417431,1.110960198
2674,450000,0.0183,0.9,22.47964266,0.913612638,58.1077188,2.584904025,63.60213988,0.613138441,0.984277259,2.584904025
1131,190000,0.0341,0.4,22.52671775,1.30691005,18.3685703,0.815412636,14.0549614,-0.22637295,0.928850747,0.815412636
1524,350000,0.0242,0.4,22.58723154,1.310420818,20.8587207,0.923473984,15.91757427,-0.082867539,0.937176357,0.923473984
804,470000,0.0179,0.1,22.62019595,0.919324974,72.1618516,3.190151481,78.49438843,0.686535261,0.987260236,3.19015148
662,370000,0.0205,0.1,22.67506157,0.92155481,55.5940586,2.45177101,60.32637234,0.592131567,0.983423502,2.45177101
2569,380000,0.0202,0.9,22.69126527,0.922213357,51.0045898,2.247763146,55.30671337,0.555113268,0.981919012,2.247763146
1711,430000,0.0216,0.4,22.720217,1.318136102,23.8875391,1.051378123,18.12220989,0.048867407,0.944819092,1.051378123
2381,270000,0.0245,0.9,22.72507738,0.923587541,38.7788086,1.706432412,41.98714998,0.413982064,0.976183189,1.706432412
2284,220000,0.0275,0.9,22.73719788,0.92408014,33.7086797,1.482534474,36.47809128,0.325479429,0.972586285,1.482534474
1059,160000,0.0377,0.4,22.73993183,1.319279878,19.2480801,0.846444055,14.58983831,-0.181412988,0.931459144,0.846444055
548,300000,0.0231,0.1,22.75376305,0.924753378,44.8589297,1.971494983,48.50907363,0.49277071,0.9793853,1.971494983
2200,180000,0.0308,0.9,22.7575139,0.924905819,30.9196094,1.358654972,33.43000851,0.263977963,0.970086756,1.358654971
1376,290000,0.027,0.4,22.80096134,1.322820566,19.7740801,0.867247648,14.94842204,-0.153073176,0.933103307,0.867247648
531,290000,0.0236,0.1,22.89256326,0.930394465,42.6995117,1.865213223,45.89398723,0.463868266,0.978210653,1.865213223
692,390000,0.02,0.1,22.97034512,0.933555659,61.9863281,2.698537082,66.39810653,0.629428846,0.98493933,2.698537082
2630,420000,0.0192,0.9,23.02472248,0.935765651,60.5800312,2.631086271,64.73846431,0.619928844,0.984553233,2.631086271
340,190000,0.0301,0.1,23.20534041,0.943106285,31.7733809,1.369227098,33.69013801,0.269660963,0.970317723,1.369227098
2399,280000,0.0242,0.9,23.21491872,0.943495564,42.1405,1.815233579,44.66422695,0.449106709,0.977610717,1.815233579
2600,400000,0.0198,0.9,23.22428051,0.943876044,55.4674805,2.388340103,58.76564073,0.581299163,0.982983254,2.388340102
2716,480000,0.0179,0.9,23.33228357,0.948265481,62.8560508,2.693951949,66.28528831,0.62879813,0.984913696,2.693951949
1734,440000,0.0216,0.4,23.50234759,1.36351219,24.5688301,1.045377701,18.01878288,0.043407949,0.944502356,1.045377702
