,fs,Bm,D,Analytical,Residual,fitting,Measured,Measured loss
0,130000.0,0.0108,0.1,0.036983863,3.9957997297488532,26.958511340251146,30.95431107,1.14481
1,150000.0,0.01,0.9,0.037334756,-0.14056661191512632,32.445585561915124,32.30501895,1.2061
2,140000.0,0.0106,0.1,0.03927975,4.64434243155149,27.10356838844851,31.74791082,1.24705
3,130000.0,0.0111,0.9,0.039730604,-2.172470052381545,32.041132502381544,29.86866245,1.1867
4,160000.0,0.01,0.9,0.041056054,7.19539248713199,32.60336654286801,39.79875903,1.63398
5,140000.0,0.0109,0.9,0.04225329,-0.957243682686368,32.21350799268637,31.25626431,1.32068
6,120000.0,0.0121,0.1,0.044248781,0.19748389755610773,26.738173382443893,26.93565728,1.19187
7,120000.0,0.0123,0.9,0.046186739,-3.3730195879635048,31.787452567963506,28.41443298,1.31237
8,150000.0,0.0109,0.1,0.04677054,9.959889921045395,27.21415168895461,37.17404161,1.73865
9,100000.0,0.0138,0.1,0.047710462,2.4305071919947707,26.36443509800523,28.79494229,1.37382
10,100000.0,0.0138,0.9,0.047710462,-1.2607143530355067,31.359353933035507,30.09863958,1.43602
11,160000.0,0.0108,0.1,0.050207697,5.49067775537582,27.353489544624182,32.8441673,1.64903
12,150000.0,0.0112,0.9,0.050211557,1.8546189909242017,32.3448781490758,34.19949714,1.71721
13,130000.0,0.0122,0.1,0.050865606,7.3457678490992215,26.86103979090078,34.20680764,1.73995
14,90000.0,0.0152,0.1,0.05259858,3.1059599919134193,26.14254823808658,29.24850823,1.53843
15,110000.0,0.0136,0.1,0.052841394,1.6314223613481182,26.50598824865188,28.13741061,1.48682
16,140000.0,0.0119,0.1,0.053153774,6.154149106576572,27.012451633423428,33.16660074,1.76293
17,160000.0,0.0111,0.9,0.053936555,1.0180196022928385,32.51044731770716,33.52846692,1.80841
18,130000.0,0.0125,0.9,0.05420131,1.9509112258618977,31.925207264138106,33.87611849,1.83613
19,190000.0,0.0101,0.9,0.054269012,10.572169603213496,33.072627176786504,43.64479678,2.36856
20,90000.0,0.0154,0.9,0.054427454,-0.7874807490376128,31.079362489037614,30.29188174,1.64871
21,80000.0,0.0166,0.1,0.055682339,6.540535442296608,25.92272009770339,32.46325554,1.80763
22,110000.0,0.0139,0.9,0.055943661,-5.068438074493699,31.5032471944937,26.43480912,1.47886
23,170000.0,0.0109,0.1,0.05623384,13.772245724554924,27.479249815445076,41.25149554,2.31973
24,140000.0,0.0122,0.9,0.056729181,-2.3696435222834253,32.105133622283425,29.7354901,1.68687
25,180000.0,0.0106,0.1,0.056865806,16.164922496033075,27.634333593966925,43.79925609,2.49068
26,80000.0,0.0169,0.9,0.058352063,-1.6105863603725794,30.810068130372578,29.19948177,1.70385
27,120000.0,0.0136,0.1,0.06006294,4.152700173675381,26.63450404632462,30.78720422,1.84917
28,170000.0,0.0112,0.9,0.060371093,7.442276965687313,32.65986264431269,40.10213961,2.42101
29,100000.0,0.0151,0.1,0.060373005,1.8437535947663548,26.275933345233646,28.11968694,1.69767
30,100000.0,0.0152,0.9,0.061424015,-6.0278425212919835,31.245992131291985,25.21814961,1.549
31,150000.0,0.0121,0.1,0.061457124,8.765625063380359,27.129481256619638,35.89510632,2.20601
32,180000.0,0.011,0.9,0.062648894,8.751567054663887,32.83559967533611,41.58716673,2.60539
33,120000.0,0.0139,0.9,0.063589176,0.753351680204787,31.655937599795216,32.40928928,2.06088
34,70000.0,0.0189,0.1,0.064222881,7.448182019860411,25.645319340139586,33.09350136,2.12536
35,190000.0,0.0109,0.1,0.066238713,14.285197802772977,27.74686885722702,42.03206666,2.78415
36,150000.0,0.0125,0.9,0.066911988,2.634216182537571,32.23576854746243,34.86998473,2.33322
37,130000.0,0.0136,0.1,0.067574581,2.974198041807071,26.76361120819293,29.73780925,2.00952
38,160000.0,0.0121,0.1,0.06758279,7.167445236596588,27.26114227340341,34.42858751,2.32678
39,70000.0,0.0193,0.9,0.067837807,-0.4716658653563215,30.472488265356322,30.0008224,2.03519
40,230000.0,0.01,0.9,0.070049896,14.87366324817107,33.72912126182893,48.60278451,3.40462
41,200000.0,0.0109,0.1,0.071434366,17.377536261080277,27.881632138919723,45.2591684,3.23306
42,200000.0,0.0109,0.9,0.071434366,12.72358330350037,33.16399411649963,45.88757742,3.27795
43,130000.0,0.0139,0.9,0.071541818,-3.991751543379813,31.809328113379813,27.81757657,1.99012
44,110000.0,0.0153,0.1,0.071898986,-0.07959562307080503,26.389424253070803,26.30982863,1.89165
45,90000.0,0.0172,0.1,0.072668103,3.757869623973992,26.00759707602601,29.7654667,2.163
46,190000.0,0.0113,0.9,0.072784186,8.034336606200974,32.969213253799026,41.00354986,2.98441
47,210000.0,0.0107,0.1,0.073126162,18.550098366527802,28.0317255234722,46.58182389,3.40635
48,160000.0,0.0125,0.9,0.073581362,2.2681330504254973,32.392138659574506,34.66027171,2.55035
49,170000.0,0.0121,0.1,0.073892027,8.809942986274852,27.393421683725148,36.20336467,2.67514
50,140000.0,0.0135,0.1,0.073923951,7.947653159154537,26.900321890845465,34.84797505,2.5761
51,110000.0,0.0156,0.9,0.075643736,-4.691299003569746,31.364624603569744,26.6733256,2.01767
52,90000.0,0.0175,0.9,0.076028983,-2.2061488437480747,30.910860043748073,28.7047112,2.18239
53,220000.0,0.0106,0.1,0.076410614,19.651334685082492,28.17526699491751,47.82660168,3.65446
54,60000.0,0.0222,0.1,0.077960599,9.30422795001094,25.30581910998906,34.61004706,2.69822
